Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dhue	A	0101	Figirrugkfuksulaka	X130000-8	 	De Di Na Po 		002	Wild	K1 IV M8 V	{ -3 }	(700+1)	[0000]	B	0	7
Dhue	A	0106	Kfoevokhonuerrgh	DA6A9A7-6	 	Hi Oc Pr 	B	310	Wild	F4 V D	{ -1 }	(882-5)	[A867]	BcE	0	-640
Dhue	I	0121	Foegulu	X656210-0	 	Ga Lo 	B	520	Vd	G1 V	{ -3 }	(310+1)	[3151]	B	0	3
Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Va	M8 V	{ -3 }	(C00+1)	[0000]	B	0	12
Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Va	M0 V	{ -3 }	(900-2)	[0000]	B	0	-18
Dhue	M	0139	Dadhuez	X7A4000-A	 	Di Fl Px 		000	Vo	M3 V	{ -1 }	(500+1)	[0000]	B	0	5
Dhue	M	0140	Aekir Faets	C381100-8	 	Lo 		810	Vo	F5 V	{ -2 }	(600+1)	[1169]	B	0	6
Dhue	A	0201	Gikungoenzaegh	X555000-A	 	Di 		010	Wild	F3 V D	{ -1 }	(A00+1)	[0000]	B	0	10
Dhue	A	0206	Tsuakhkigorrg	X221000-A	 	Di Po 		015	Wild	F3 V D	{ -1 }	(B00+1)	[0000]	B	0	11
Dhue	A	0207	Ueagzaegikh	X97A000-8	 	Di Wa 		002	Wild	F7 V	{ -3 }	(C00-1)	[0000]	B	0	-12
Dhue	A	0209	Ikougagh	D674798-5	 	Ag Pi 	B	503	Wild	G5 V	{ -1 }	(563+1)	[7626]	BCD	0	90
Dhue	E	0215	Allughe	X759496-0	 	Ni 	B	211	Wild	F8 V D	{ -3 }	(B33-3)	[3161]	B	0	-297
Dhue	E	0218	Rrogarz	X232000-A	 	Di Na Po 		044	Vd	M8 V D	{ -1 }	(F00+1)	[0000]	B	0	15
Dhue	I	0224	Kfakhaegog	X412000-3	 	Di Ic Na Pi 		002	Vd	G3 V D	{ -3 }	(A00+2)	[0000]	BD	0	20
Dhue	I	0225	Kokhoeraedhghaghz	X400000-7	 	Di Na Pi Va 		003	Vd	G2 V	{ -3 }	(A00-4)	[0000]	BD	0	-40
Dhue	I	0226	Ganoukhs	X310000-9	 	Di Na 		003	Vd	G2 V	{ -2 }	(700-2)	[0000]	B	0	-14
Dhue	I	0227	Ourrgaenou	X728000-9	 	Di Pi 		002	Vd	F0 III	{ -2 }	(900-1)	[0000]	BD	0	-9
Dhue	M	0232	Tegvaesakhungthagzgarrtaeth	X434000-C	 	Di 		000	Va	F0 V D D	{ -1 }	(900+1)	[0000]	B	0	9
Dhue	A	0303	Saezzaezugh	X400000-B	 	Di Va 		000	Wild	M2 V	{ -1 }	(A00-2)	[0000]	B	0	-20
Dhue	A	0304	Tsongaen	X683000-8	 	Di 		003	Wild	F7 V	{ -3 }	(B00-3)	[0000]	B	0	-33
