Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Dhue	A	0101	Figirrugkfuksulaka	B130765-8	 	De Na Po 		302	Va	K1 IV M8 V	{ 0 }	(763+1)	[]	B	0	0
1157	Dhue	A	0101	Figirrugkfuksulaka	B130772-6	 	De Na Po 		102	Wild	K1 IV M8 V	{ 0 }	(567+1)	[C761]	B	0	210
1508	Dhue	A	0101	Figirrugkfuksulaka	B130754-8	 	De Na Po 		202	Wild	K1 IV M8 V	{ 0 }	(769+2)	[77A9]	B	0	756
1201	Dhue	A	0101	Figirrugkfuksulaka	X130000-8	 	De Di Na Po 		002	Wild	K1 IV M8 V	{ -3 }	(700+1)	[0000]	B	0	7
1900	Dhue	A	0101	Figirrugkfuksulaka	B130577-9	 	De Ni Po 		502	NaVa	K1 IV M8 V	{ 0 }	(742-1)	[1557]	B	0	-56

1105	Dhue	A	0106	Kfoevokhonuerrgh	BA6A775-7	 	Oc Ri 		410	Vd	F4 V D	{ 0 }	(869+1)	[]	BC	0	0
1157	Dhue	A	0106	Kfoevokhonuerrgh	BA6A772-5	 	Oc Ri 		210	Wild	F4 V D	{ 1 }	(86B+1)	[6829]	BC	0	528
1508	Dhue	A	0106	Kfoevokhonuerrgh	BA6A7B8-6	 	Oc Ri 		210	Wild	F4 V D	{ 1 }	(867-2)	[6849]	BC	0	-672
1201	Dhue	A	0106	Kfoevokhonuerrgh	DA6A9A7-6	 	Hi Oc Pr 	B	310	Wild	F4 V D	{ -1 }	(882-5)	[A867]	BcE	0	-640
1900	Dhue	A	0106	Kfoevokhonuerrgh	BA6A77A-7	 	Oc Ri 	B	310	NaVa	F4 V D	{ 1 }	(86A+1)	[9818]	BC	0	480

1105	Dhue	I	0121	Foegulu	D656105-1	 	Ga Lo 		320	Vd	G1 V	{ 0 }	(300-4)	[]	B	0	0
1201	Dhue	I	0121	Foegulu	X656210-0	 	Ga Lo 	B	520	Vd	G1 V	{ -3 }	(310+1)	[3151]	B	0	3
1157	Dhue	I	0121	Foegulu	X656000-0	 	Ba Ga 		020	Wild	G1 V	{ -3 }	(300-1)	[0000]	B	0	-3
1508	Dhue	I	0121	Foegulu	X656000-0	 	Ba Ga 		020	Wild	G1 V	{ -3 }	(300+3)	[0000]	B	0	9
1900	Dhue	I	0121	Foegulu	A656A7B-9	 	Ga Hi 		520	NaVa	G1 V	{ 2 }	(595-1)	[9C36]	BE	0	-225

1105	Dhue	I	0130	Zadzaenksaelaes	B410277-8	 	Lo 		103	Va	M8 V	{ 0 }	(C10+1)	[]	B	0	0
1201	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Va	M8 V	{ -3 }	(C00+1)	[0000]	B	0	12
1157	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Wild	M8 V	{ -3 }	(C00+1)	[0000]	B	0	12
1508	Dhue	I	0130	Zadzaenksaelaes	X410000-8	 	Di 		003	Wild	M8 V	{ -3 }	(C00-4)	[0000]	B	0	-48
1900	Dhue	I	0130	Zadzaenksaelaes	C410532-6	 	Ni 		703	NaVa	M8 V	{ -2 }	(941-5)	[7391]	B	0	-180

1105	Dhue	M	0133	Vougzueg	C638621-8	 	Ni 		900	Va	M0 V	{ 0 }	(955-2)	[]	B	0	0
1201	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Va	M0 V	{ -3 }	(900-2)	[0000]	B	0	-18
1157	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Wild	M0 V	{ -3 }	(900-2)	[0000]	B	0	-18
1508	Dhue	M	0133	Vougzueg	X638000-8	 	Di 		000	Wild	M0 V	{ -3 }	(900+2)	[0000]	B	0	18
1900	Dhue	M	0133	Vougzueg	C638842-8	 	Ph 		200	NaVa	M0 V	{ -1 }	(973+1)	[A777]	Be	0	189

1105	Dhue	M	0139	Dadhuez	B7A4446-A	 	Fl Ni Px 		500	Vo	M3 V	{ 0 }	(533-3)	[]	B	0	0
1201	Dhue	M	0139	Dadhuez	X7A4000-A	 	Di Fl Px 		000	Vo	M3 V	{ -1 }	(500+1)	[0000]	B	0	5
1157	Dhue	M	0139	Dadhuez	X7A4000-A	 	Di Fl Px 		000	Wild	M3 V	{ -1 }	(500+1)	[0000]	B	0	5
1508	Dhue	M	0139	Dadhuez	X7A4000-A	 	Di Fl 		000	Wild	M3 V	{ -1 }	(500-1)	[0000]	B	0	-5
1900	Dhue	M	0139	Dadhuez	B7A4479-A	 	Fl Ni Px 		300	NaVa	M3 V	{ 1 }	(533+5)	[5516]	B	0	225

1105	Dhue	M	0140	Aekir Faets	A381133-A	 	Lo 		810	Vo	F5 V	{ 0 }	(600+2)	[]	B	0	0
1201	Dhue	M	0140	Aekir Faets	C381100-8	 	Lo 		810	Vo	F5 V	{ -2 }	(600+1)	[1169]	B	0	6
1157	Dhue	M	0140	Aekir Faets	E381000-8	 	Di 		010	Wild	F5 V	{ -3 }	(600+5)	[0000]	B	0	30
1508	Dhue	M	0140	Aekir Faets	E381000-8	 	Di 		010	Wild	F5 V	{ -3 }	(600+1)	[0000]	B	0	6
1900	Dhue	M	0140	Aekir Faets	B381557-9	 	Ni Pr 		110	NaVa	F5 V	{ 0 }	(644+3)	[4597]	Bc	0	288

1105	Dhue	A	0201	Gikungoenzaegh	A55549D-A	 	Ni Pa 		610	Va	F3 V D	{ 0 }	(A33-3)	[]	Bc	0	0
1157	Dhue	A	0201	Gikungoenzaegh	X555000-A	 	Di 		010	Wild	F3 V D	{ -1 }	(A00+2)	[0000]	B	0	20
1508	Dhue	A	0201	Gikungoenzaegh	X555000-A	 	Di 		010	Wild	F3 V D	{ -1 }	(A00-4)	[0000]	B	0	-40
