Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	Wild	G5 V	{ -3 }	(800+1)	[0000]	B	13	8
Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	Wild	K1 V	{ -3 }	(900-1)	[0000]	B	12	-9
Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	Wild	G7 V D G0 V	{ -3 }	(A00-3)	[0000]	B	4	-30
Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	Wild	G4 V M9 VI	{ -3 }	(600+1)	[0000]	B	15	6
Eiap	A	0204	Zhdia-61	X997000-0	 	Ba 		002	Wild	K5 V	{ -3 }	(700-3)	[0000]	B	9	-21
Eiap	E	0215	Zhdelshtanzh	X000000-9	 	As Va Di 		024	Wild	F7 V K8 VI	{ -2 }	(D00+5)	[0000]	B	10	65
Eiap	I	0226	Pokrchtiens	X884633-0	 	Ag Ri Ni 		512	Wild	K4 V M5 VI	{ -1 }	(652+4)	[4512]	BC	11	240
Eiap	I	0227	Pleshtseikr	X657400-0	 	Ga Ni Pa 		100	Wild	A4 V F7 VI	{ -3 }	(331+2)	[1111]	Bc	8	18
Eiap	I	0228	Ieplzensh-1	X100000-0	 	Ba Va 		002	Wild	K5 V M0 VI	{ -3 }	(A00+3)	[0000]	B	12	30
Eiap	M	0231	Iplpaf	X766000-0	 	Ba Ga 		024	Wild	G3 V	{ -3 }	(300+2)	[0000]	B	14	6
Eiap	A	0303	Dleiabl	X55A974-4	 	Hi Wa 		133	Wild	K9 V	{ -1 }	(286+1)	[C816]	BE	15	96
Eiap	A	0304	Zhienzneshr	X553516-0	 	Ni Po 		224	Wild	F7 III	{ -3 }	(840-2)	[5221]	B	15	-64
Eiap	I	0322	Denshfafrenzh	X45A000-4	 	Di Wa 		001	Wild	G9 V K0 VI	{ -3 }	(300-2)	[0000]	B	5	-6
Eiap	I	0323	Erpr	X635000-0	 	Ba 		020	Wild	M2 V BD BD	{ -3 }	(600-1)	[0000]	B	11	-6
Eiap	I	0325	Dajda	X313000-E	 	Di Ic Na In 		003	Wild	G5 V M4 VI	{ 0 }	(700+2)	[0000]	BE	8	14
Eiap	I	0330	Chienzhva	X652000-3	 	Di Po 		024	Wild	M3 V	{ -3 }	(400+1)	[0000]	B	15	4
Eiap	M	0332	Breentebr-1	X586000-0	 	Ba 		033	Wild	F9 IV G9 V	{ -3 }	(600+1)	[0000]	B	16	6
Eiap	M	0337	Stijets	X544000-0	 	Ba 		023	Wild	A6 IV	{ -3 }	(800+2)	[0000]	B	14	16
Eiap	M	0340	Zdeltli-22	X8D4000-0	 	Ba 		005	Wild	G1 V	{ -3 }	(200+3)	[0000]	B	14	6
Eiap	A	0401	Arebr	X65A000-4	 	Di Wa 		012	Wild	K4 V	{ -3 }	(A00-2)	[0000]	B	9	-20
Eiap	A	0405	Freleblklinch	X533000-8	 	Di Px Po 		024	Wild	G6 II	{ -3 }	(C00+1)	[0000]	B	15	12
Eiap	A	0410	Zdiaqrd-13	X459000-0	 	Ba 		000	Wild	G6 V	{ -3 }	(600+1)	[0000]	B	6	6
Eiap	E	0417	Jeptsaqrzda	X7C2000-9	 	Di Fl He 		000	Wild	A3 V F9 VI A9 V	{ -2 }	(700-1)	[0000]	B	9	-7
Eiap	E	0418	Dliaple	X84A000-3	 	Di Pi Wa 		022	Wild	G5 V G2 VI	{ -3 }	(600+1)	[0000]	BD	8	6
Eiap	E	0420	Qrieshlenzh	E588000-1	 	Di 		024	Wild	G2 IV M2 V G9 V	{ -3 }	(700+4)	[0000]	B	15	28
Eiap	I	0421	Diachtiazh	E646000-4	 	Di 		001	Wild	G6 V	{ -3 }	(700-2)	[0000]	B	14	-14
Eiap	I	0424	Proshtlastiej	X100000-B	 	Di Va 		022	Wild	G7 V	{ -1 }	(900+1)	[0000]	B	16	9
Eiap	I	0427	Rdlie	X767679-0	 	Ag Ri Ga Ni 		302	Wild	G0 IV	{ -1 }	(352+1)	[A561]	BC	13	30
Eiap	I	0428	Chtantne	XA8A000-5	 	Di Oc 		002	Wild	K1 IV M7 V	{ -3 }	(500-2)	[0000]	B	6	-10
Eiap	M	0434	Zhdafrlobr	X564000-0	 	Ba 		021	Wild	F1 V F2 V	{ -3 }	(500-3)	[0000]	B	9	-15
Eiap	M	0435	Feqrjrnshenib	X69A000-0	 	Ba Wa 		000	Wild	G7 V	{ -3 }	(800+1)	[0000]	B	8	8
Eiap	A	0501	Densiarep	E657446-3	 	Ga Ni Pa 		124	Wild	G0 V	{ -3 }	(930+1)	[3171]	Bc	15	27
Eiap	A	0509	Zdezdr'strr	X626000-A	 	Di 		033	Wild	M0 V M1 VI	{ -1 }	(H00+2)	[0000]	B	13	34
Eiap	E	0516	Zhablstepl	X100000-7	 	Di Va 		004	Wild	G8 V K8 VI	{ -3 }	(600+1)	[0000]	B	14	6
Eiap	E	0519	Ienzhiezh	X8A4000-0	 	Ba Fl 		024	Wild	F7 V G6 VI G5 VI K5 VI	{ -3 }	(300+3)	[0000]	B	12	9
Eiap	E	0520	Iena'iebl	X9B5000-8	 	Di Fl 		023	Wild	F7 V	{ -3 }	(900+4)	[0000]	B	11	36
Eiap	I	0521	Ishjivr	XAA6000-C	 	Di Fl 		010	Wild	K4 V	{ -1 }	(A00+1)	[0000]	B	5	10
Eiap	I	0522	Jekrshel	X422000-E	 	Di He Na In Po 		000	Wild	G5 V M8 VI	{ 0 }	(B00+3)	[0000]	BE	3	33
Eiap	I	0524	Jebrr	D7668BA-1	 	Ga Pa Ri Ph 		221	Wild	F5 V	{ -1 }	(974+2)	[7742]	BcCe	8	504
Eiap	I	0525	Dletavldar	E552545-3	 	Ni Po 		224	Wild	K8 V	{ -3 }	(540-4)	[2264]	B	15	-80
Eiap	I	0528	Tledliepliet	X59A000-0	 	Ba Wa 		011	Wild	G0 V M9 VI	{ -3 }	(300+1)	[0000]	B	11	3
Eiap	M	0532	Jachnapl	XAC4000-0	 	Ba Fl 		013	Wild	G5 III M4 VI	{ -3 }	(600+4)	[0000]	B	11	24
Eiap	M	0539	Tlialiaipr	X537000-0	 	Ba 		024	Wild	K0 V K4 VI BD M6 VI	{ -3 }	(800+1)	[0000]	B	18	8
Eiap	A	0602	Banzo	X969000-0	 	Ba 		010	Wild	G4 V	{ -3 }	(900+4)	[0000]	B	6	36
Eiap	A	0606	Zetkro	X200000-9	 	Di Va 		024	Wild	A8 IV G0 V	{ -2 }	(E00+3)	[0000]	B	11	42
Eiap	A	0607	Tlasheze	X610000-0	 	Ba 		024	Wild	M6 V M0 VI	{ -3 }	(A00-2)	[0000]	B	12	-20
Eiap	A	0608	Ozhdezhidl	X100000-8	 	Di Va 		023	Wild	A0 V G5 VI	{ -3 }	(A00+1)	[0000]	B	17	10
Eiap	E	0611	Aldlivkiash	C68A613-3	 	Ni Ri Wa 		525	Wild	A8 V	{ -1 }	(552+1)	[2541]	BC	17	50
Eiap	E	0612	Enshdliepzdi	X556000-0	 	Ba 		024	Wild	A9 II	{ -3 }	(B00+1)	[0000]	B	17	11
Eiap	E	0613	Broshzhensh	X410000-B	 	Di Na Pi 		020	Wild	G7 V	{ -1 }	(700-4)	[0000]	BD	9	-28
Eiap	E	0614	Zhdiechplia	X7A6000-9	 	Di Fl In 		000	Wild	K1 V K4 V	{ -1 }	(800+3)	[0000]	BE	11	24
Eiap	E	0616	Plabrkier	E664875-3	 	Pa Ri Ph 		122	Wild	G9 V	{ -1 }	(875-4)	[A773]	BcCe	11	-1120
Eiap	E	0619	Shakiavinch	X7B1000-0	 	Ba Fl He 		003	Wild	K9 VI M4 VI K1 VI	{ -3 }	(600+2)	[0000]	B	11	12
Eiap	E	0620	Shajzdenchta	D569877-1	 	Ph Ri 		523	Wild	M9 V BD BD M3 VI	{ -1 }	(873-2)	[3764]	BCe	14	-336
Eiap	I	0621	Zdonshshtiql	X479000-5	 	Di 		024	Wild	F7 V	{ -3 }	(900-4)	[0000]	B	15	-36
Eiap	I	0622	Vriae	D656000-5	 	Di Ga 		003	Wild	G6 V M3 V	{ -3 }	(500+1)	[0000]	B	9	5
Eiap	I	0625	Zhdoie	X167559-3	 	Ag Pr Ni 		201	Wild	G4 IV	{ -2 }	(740+2)	[4363]	BcC	8	56
