Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	NaXX	G5 V	{ -3 }	(800-4)	[0000]	B	13	0
1201	Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	NaXX	G5 V	{ -3 }	(800+3)	[0000]	B	13	24
1199	Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	Wild	G5 V	{ -3 }	(800+1)	[0000]	B	13	8
1508	Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	Wild	G5 V	{ -3 }	(800-1)	[0000]	B	13	-8
1900	Eiap	A	0103	Iaprpef-70	X110000-0	 	Ba 		014	Wild	G5 V	{ -3 }	(800-5)	[0000]	B	13	-40

1105	Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	NaXX	K1 V	{ -3 }	(900+2)	[0000]	B	12	0
1201	Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	NaXX	K1 V	{ -3 }	(900+1)	[0000]	B	12	9
1199	Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	Wild	K1 V	{ -3 }	(900-1)	[0000]	B	12	-9
1508	Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	Wild	K1 V	{ -3 }	(900-4)	[0000]	B	12	-36
1900	Eiap	A	0109	Ilbriadl-3	X878000-0	 	Ba 		023	Wild	K1 V	{ -3 }	(900+5)	[0000]	B	12	45

1105	Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	NaXX	G7 V D G0 V	{ -3 }	(A00-3)	[0000]	B	4	0
1201	Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	NaXX	G7 V D G0 V	{ -3 }	(A00-2)	[0000]	B	4	-20
1199	Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	Wild	G7 V D G0 V	{ -3 }	(A00-3)	[0000]	B	4	-30
1508	Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	Wild	G7 V D G0 V	{ -3 }	(A00-4)	[0000]	B	4	-40
1900	Eiap	M	0133	Qlavrr-28	X683000-0	 	Ba 		000	Wild	G7 V D G0 V	{ -3 }	(A00+1)	[0000]	B	4	10

1105	Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	NaXX	G4 V M9 VI	{ -3 }	(600+2)	[0000]	B	15	0
1201	Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	NaXX	G4 V M9 VI	{ -3 }	(600-2)	[0000]	B	15	-12
1199	Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	Wild	G4 V M9 VI	{ -3 }	(600+1)	[0000]	B	15	6
1508	Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	Wild	G4 V M9 VI	{ -3 }	(600-2)	[0000]	B	15	-12
1900	Eiap	M	0136	Zdiaztl-73	X7B7000-0	 	Ba Fl 		014	Wild	G4 V M9 VI	{ -3 }	(600+1)	[0000]	B	15	6

