Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Itvi	A	0104	Briaflnech	D995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00+1)	[0000]	B	0	10
Itvi	A	0105	Jiazpezhdekl	C000746-7	 	As Va Na Pi 		200	Wild	M0 V M6 D	{ -1 }	(867+1)	[8638]	BD	0	336
Itvi	A	0109	Zhdevrnitl	C351420-4	 	Ni Po 		303	Wild	F8 V	{ -2 }	(531+5)	[2261]	B	0	75
Itvi	E	0113	Ababl	E000577-7	 	As Va Ni 		122	Wild	F1 II	{ -3 }	(640+3)	[5218]	B	0	72
Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	0	2
Itvi	E	0118	Ao	E88A558-6	 	Ni Pr Wa 		305	Wild	F5 V M0 D	{ -3 }	(B41-1)	[4275]	Bc	0	-44
Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Wild	F3 IV M6 D	{ -3 }	(600+1)	[0000]	B	0	6
Itvi	I	0125	Nililvirzid	E367000-7	 	Di 		005	Wild	K0 V	{ -3 }	(800+2)	[0000]	B	0	16
Itvi	I	0126	Ieklpriatl	X357436-3	 	Ni Pa 		903	Wild	M4 V	{ -3 }	(A30-1)	[2123]	Bc	0	-30
Itvi	I	0127	Ivoprej	X77877A-0	 	Ag Pi 		304	Wild	G1 V	{ -1 }	(B67-4)	[4622]	BCD	0	-1848
Itvi	I	0130	Jdiazhie	X7B2000-A	 	Di Fl He 		005	Wild	F6 V M3 D	{ -1 }	(E00+1)	[0000]	B	0	14
Itvi	M	0131	Blatlensh	X373000-2	 	Di 		007	Wild	F9 V M5 D	{ -3 }	(B00+3)	[0000]	B	0	33
Itvi	M	0135	Iklzhdevl	X410000-A	 	Di 		004	Wild	F6 V	{ -1 }	(900+1)	[0000]	B	0	9
Itvi	M	0136	Zhdedipens	X130000-A	 	De Di Po 		017	Wild	G8 V M3 V	{ -1 }	(F00+1)	[0000]	B	0	15
Itvi	M	0138	Brievltliabl	X664456-0	 	Ni Pa 		200	Wild	F1 V	{ -3 }	(632+1)	[1141]	Bc	0	36
Itvi	M	0139	Itsipiazekr	X7B6000-0	 	Ba Fl 		007	Wild	M0 V M8 V	{ -3 }	(900+1)	[0000]	B	0	9
Itvi	A	0202	Dredro	A300446-A	 	Ni Va 		110	Wild	M0 V	{ 1 }	(A34+1)	[2518]	B	0	120
Itvi	A	0203	Dralflo	A788400-8	 	Ni Pa 		406	Wild	F6 V M8 D	{ -1 }	(E31-3)	[8398]	Bc	0	-126
Itvi	A	0208	Eddents	X8A9000-8	 	Di Fl 		002	Wild	M5 V M5 D	{ -3 }	(700+1)	[0000]	B	0	7
Itvi	A	0209	Ieila	E779000-A	 	Di 		003	Wild	F9 V	{ -1 }	(B00+2)	[0000]	B	0	22
Itvi	E	0213	Prablvrdl	A300777-D	 	Na Pi Va 		203	Wild	K1 V	{ 2 }	(96B+1)	[796A]	BD	0	594
Itvi	E	0215	Zhdeflmitsop	D635000-0	 	Ba 		023	Wild	M6 V M4 D	{ -3 }	(B00+3)	[0000]	B	0	33
Itvi	E	0218	Efrdiek	X883696-0	 	Ni Ri 		415	Wild	K9 V M0 D	{ -2 }	(852-5)	[7421]	BC	0	-400
Itvi	I	0222	Zhdashensh	X110000-C	 	Di 		013	Wild	M5 V	{ -1 }	(C00-2)	[0000]	B	0	-24
Itvi	I	0225	Eplyilchtar	X642000-1	 	Di He Po 		021	Wild	F6 V M4 D	{ -3 }	(700-4)	[0000]	B	0	-28
Itvi	I	0227	Alebiatl	X652000-5	 	Di Po 		024	Wild	G9 V M0 D	{ -3 }	(900-1)	[0000]	B	0	-9
Itvi	I	0229	Shtienzir	X533000-0	 	Ba Po 		002	Wild	M1 V M2 D	{ -3 }	(700-1)	[0000]	B	0	-7
Itvi	I	0230	Ebriklribr	X899978-3	 	Hi In 		414	Wild	K3 V M6 D	{ 0 }	(68B+2)	[A932]	BE	0	1056
Itvi	M	0233	Aplpia	X6477BB-1	 	Ag Pi 		200	Wild	F0 V M5 D	{ -1 }	(A68+1)	[7621]	BCD	0	480
Itvi	M	0237	Jieqladzhdor	X300000-9	 	Di Va 		006	Wild	M1 V M7 D	{ -2 }	(C00+1)	[0000]	B	0	12
