Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Itvi	A	0104	Briaflnech	D995456-8	 	Ni Pa 		813	Zh	F1 V	{ 0 }	(A33+3)	[]	Bc	0	0
1157	Itvi	A	0104	Briaflnech	D995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00+2)	[0000]	B	0	20
1508	Itvi	A	0104	Briaflnech	D995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00+1)	[0000]	B	0	10
1201	Itvi	A	0104	Briaflnech	X995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00-2)	[0000]	B	0	-20
1900	Itvi	A	0104	Briaflnech	X995000-8	 	Di 		013	Wild	F1 V	{ -3 }	(A00-3)	[0000]	B	0	-30

1105	Itvi	A	0105	Jiazpezhdekl	C000740-8	 	As Va Na Pi 		300	Zh	M0 V M6 D	{ 0 }	(866-3)	[]	BD	0	0
1157	Itvi	A	0105	Jiazpezhdekl	C000736-6	 	As Va Na Pi 		100	Wild	M0 V M6 D	{ -1 }	(862+1)	[6629]	BD	0	96
1508	Itvi	A	0105	Jiazpezhdekl	C000746-7	 	As Va Na Pi 		200	Wild	M0 V M6 D	{ -1 }	(867+1)	[8638]	BD	0	336
1201	Itvi	A	0105	Jiazpezhdekl	X000000-7	 	As Va Di Na Pi 		000	Wild	M0 V M6 D	{ -3 }	(800+4)	[0000]	BD	0	32
1900	Itvi	A	0105	Jiazpezhdekl	X000000-7	 	As Va Di 		000	Wild	M0 V M6 D	{ -3 }	(800-2)	[0000]	B	0	-16

1105	Itvi	A	0109	Zhdevrnitl	C351443-5	 	Ni Po 		803	Zh	F8 V	{ 0 }	(535+2)	[]	B	0	0
1157	Itvi	A	0109	Zhdevrnitl	C351400-4	 	Ni Po 		403	Wild	F8 V	{ -2 }	(534-4)	[9211]	B	0	-240
1508	Itvi	A	0109	Zhdevrnitl	C351420-4	 	Ni Po 		303	Wild	F8 V	{ -2 }	(531+5)	[2261]	B	0	75
1201	Itvi	A	0109	Zhdevrnitl	E351489-3	 	Ni Po 		203	Wild	F8 V	{ -3 }	(532+1)	[3175]	B	0	30
1900	Itvi	A	0109	Zhdevrnitl	E351410-3	 	Ni Po 		103	Wild	F8 V	{ -3 }	(532+2)	[41A3]	B	0	60

1105	Itvi	E	0113	Ababl	E000563-8	 	As Va Cy Ni 		422	Zh	F1 II	{ 0 }	(A46+1)	[]	B	0	0
1157	Itvi	E	0113	Ababl	E000578-6	 	As Va Ni 		222	Wild	F1 II	{ -3 }	(640+3)	[1288]	B	0	72
1508	Itvi	E	0113	Ababl	E000577-7	 	As Va Ni 		122	Wild	F1 II	{ -3 }	(640+3)	[5218]	B	0	72
1201	Itvi	E	0113	Ababl	X000000-7	 	As Va Di 		022	Wild	F1 II	{ -3 }	(600+2)	[0000]	B	0	12
1900	Itvi	E	0113	Ababl	X000000-7	 	As Va Di 		022	Wild	F1 II	{ -3 }	(600+1)	[0000]	B	0	6

1105	Itvi	E	0117	Aqltsizh	C9B5000-0	 	Ba Fl 		004	Zh	M1 V	{ 0 }	(200-1)	[]	B	0	0
1201	Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Zh	M1 V	{ -3 }	(200-2)	[0000]	B	0	-4
1157	Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Wild	M1 V	{ -3 }	(200-2)	[0000]	B	0	-4
1508	Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	0	2
1900	Itvi	E	0117	Aqltsizh	X9B5000-0	 	Ba Fl 		004	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	0	2

1105	Itvi	E	0118	Ao	C88A644-7	 	Ni Ri Wa 	U	305	Zh	F5 V M0 D	{ 0 }	(B51+1)	[]	BC	0	0
1201	Itvi	E	0118	Ao	E88A677-7	 	Ni Ri Wa 		405	Zh	F5 V M0 D	{ -2 }	(B53+2)	[7467]	BC	0	330
1157	Itvi	E	0118	Ao	E88A531-4	 	Ni Pr Wa 		205	Wild	F5 V M0 D	{ -3 }	(B40-4)	[5255]	Bc	0	-176
1508	Itvi	E	0118	Ao	E88A558-6	 	Ni Pr Wa 		305	Wild	F5 V M0 D	{ -3 }	(B41-1)	[4275]	Bc	0	-44
1900	Itvi	E	0118	Ao	E88A9CA-7	 	Hi Pr Wa 		705	Wild	F5 V M0 D	{ -1 }	(B85+4)	[886A]	BcE	0	1760

1105	Itvi	I	0121	Iechtif	C514000-0	 	Ba Ic 		004	Zh	F3 IV M6 D	{ 0 }	(600+2)	[]	B	0	0
1201	Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Zh	F3 IV M6 D	{ -3 }	(600+2)	[0000]	B	0	12
1157	Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Wild	F3 IV M6 D	{ -3 }	(600+1)	[0000]	B	0	6
1508	Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Wild	F3 IV M6 D	{ -3 }	(600+1)	[0000]	B	0	6
1900	Itvi	I	0121	Iechtif	X514000-0	 	Ba Ic 		004	Wild	F3 IV M6 D	{ -3 }	(600+4)	[0000]	B	0	24

1105	Itvi	I	0125	Nililvirzid	C367400-A	 	Ni Pa 		905	Zh	K0 V	{ 0 }	(D35-1)	[]	Bc	0	0
1201	Itvi	I	0125	Nililvirzid	E367489-7	 	Ni Pa 		505	Zh	K0 V	{ -3 }	(833+4)	[4168]	Bc	0	288
1157	Itvi	I	0125	Nililvirzid	E367000-7	 	Di 		005	Wild	K0 V	{ -3 }	(800+1)	[0000]	B	0	8
1508	Itvi	I	0125	Nililvirzid	E367000-7	 	Di 		005	Wild	K0 V	{ -3 }	(800+2)	[0000]	B	0	16
1900	Itvi	I	0125	Nililvirzid	E367000-7	 	Di 		005	Wild	K0 V	{ -3 }	(800+2)	[0000]	B	0	16

1105	Itvi	I	0126	Ieklpriatl	B357532-C	 	Ag Ni 		403	Zh	M4 V	{ 0 }	(D45-2)	[]	BC	0	0
1201	Itvi	I	0126	Ieklpriatl	X35756C-6	 	Ag Ni 		203	Zh	M4 V	{ -2 }	(A43-1)	[9365]	BC	0	-120
1157	Itvi	I	0126	Ieklpriatl	X357577-2	 	Ag Ni 		103	Wild	M4 V	{ -2 }	(A40-4)	[73A2]	BC	0	-160
1508	Itvi	I	0126	Ieklpriatl	X357436-3	 	Ni Pa 		903	Wild	M4 V	{ -3 }	(A30-1)	[2123]	Bc	0	-30
1900	Itvi	I	0126	Ieklpriatl	C357488-A	 	Ni Pa 		703	Wild	M4 V	{ 0 }	(D34+3)	[246D]	Bc	0	468

1105	Itvi	I	0127	Ivoprej	E778864-5	 	Pa Pi Ph 		704	Zh	G1 V	{ 0 }	(B75-1)	[]	BcDe	0	0
1201	Itvi	I	0127	Ivoprej	X778879-4	 	Pa Pi Ph 	B	804	Zh	G1 V	{ -2 }	(B75-2)	[6673]	BcDe	0	-770
1157	Itvi	I	0127	Ivoprej	X778731-0	 	Ag Pi 		404	Wild	G1 V	{ -1 }	(B65+4)	[A671]	BCD	0	1320
1508	Itvi	I	0127	Ivoprej	X77877A-0	 	Ag Pi 		304	Wild	G1 V	{ -1 }	(B67-4)	[4622]	BCD	0	-1848
1900	Itvi	I	0127	Ivoprej	X778776-1	 	Ag Pi 		404	Wild	G1 V	{ -1 }	(B64+1)	[4663]	BCD	0	264

1105	Itvi	I	0130	Jdiazhie	C7B2987-A	 	Fl He Hi In 		405	Zh	F6 V M3 D	{ 0 }	(E86+4)	[]	BE	0	0
1201	Itvi	I	0130	Jdiazhie	X7B2000-A	 	Di Fl He In 		005	Zh	F6 V M3 D	{ 0 }	(E00-1)	[0000]	BE	0	-14
1157	Itvi	I	0130	Jdiazhie	X7B2000-A	 	Di Fl He In 		005	Wild	F6 V M3 D	{ 0 }	(E00+2)	[0000]	BE	0	28
1508	Itvi	I	0130	Jdiazhie	X7B2000-A	 	Di Fl He 		005	Wild	F6 V M3 D	{ -1 }	(E00+1)	[0000]	B	0	14
1900	Itvi	I	0130	Jdiazhie	B7B2787-A	 	Fl He 		705	Wild	F6 V M3 D	{ 2 }	(E65+1)	[3958]	B	0	420

1105	Itvi	M	0131	Blatlensh	C373577-6	 	Ni 		207	Zh	F9 V M5 D	{ 0 }	(B42+2)	[]	B	0	0
1201	Itvi	M	0131	Blatlensh	X373511-2	 	Ni 		207	Zh	F9 V M5 D	{ -3 }	(B41+3)	[1272]	B	0	132
