Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Knae	A	0101	Dikhoghai	X327000-6	 	Di Pi 		013	Va	M6 V M8 V	{ -3 }	(700-1)	[0000]	BD	0	-7
Knae	A	0103	Asgvughz	X200000-5	 	Di Na Pi Va 		003	Va	F2 V	{ -3 }	(400+1)	[0000]	BD	0	4
Knae	A	0104	Zora	X404000-C	 	Di Ic Va In 		012	Va	G1 V M6 V	{ 0 }	(D00-3)	[0000]	BE	0	-39
Knae	A	0109	Duegingoeudh	C586648-6	 	Ag Ri Ni 		412	Va	F2 V	{ 0 }	(756-2)	[A657]	BC	0	-420
Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Va	M0 V M7 V M2 V	{ -2 }	(D00-3)	[0000]	B	0	-39
Knae	E	0115	Karruez	X423000-5	 	Di Po 		015	VK	G9 V	{ -3 }	(500-4)	[0000]	B	0	-20
Knae	E	0116	Tava	X76889A-2	 	Pa Ri Ph 	B	802	VK	F9 V M6 V	{ -1 }	(876-1)	[7782]	BcCe	0	-336
Knae	E	0117	Vuvadhuek	XAC4000-C	 	Di Fl 		000	VK	K4 V	{ -1 }	(400-2)	[0000]	B	0	-8
Knae	I	0121	Voeorsaerr	D876410-6	 	Ni Pa 		202	VK	F2 V	{ -3 }	(733+2)	[31A6]	Bc	0	126
Knae	I	0126	Dikhsaers	E5867AB-5	 	Ag Ri 	B	127	VK	F8 V K2 V M5 V	{ 0 }	(966+4)	[6745]	BC	0	1296
Knae	I	0129	Ghezesurrgh	X231000-C	 	Di Po 		003	Ve	M2 V M8 V	{ -1 }	(800+3)	[0000]	B	0	24
Knae	M	0133	Ongazaksa	D674377-4	 	Lo 	B	804	Ve	G1 V	{ -3 }	(620+1)	[1162]	B	0	12
Knae	A	0203	Sulueng	X778577-2	 	Ag Ni 	B	311	Va	G8 V	{ -2 }	(940-1)	[3352]	BC	0	-36
Knae	A	0210	Thogzasaegha	E343658-4	 	Ni Po 	B	200	Va	F7 V	{ -3 }	(652-1)	[A376]	B	0	-60
Knae	E	0212	Oudae	X387687-0	 	Ag Ri Ni 		303	Va	M1 V M2 V	{ -1 }	(552-3)	[B571]	BC	0	-150
Knae	E	0218	Ivaegvagz	D762933-3	 	Hi Pr 	B	104	VK	G1 V	{ -1 }	(784-5)	[A822]	BcE	0	-1120
Knae	I	0225	Gurruzaengan	E866331-1	 	Ga Lo 	B	713	VK	K4 V	{ -3 }	(220-1)	[4141]	B	0	-4
Knae	I	0226	Asrrolang	X000000-B	 	As Va Di 		002	VK	F2 V M1 V	{ -1 }	(E00+2)	[0000]	B	0	28
Knae	I	0229	Zoevanaegats	X6A3000-7	 	Di Fl 		006	Ve	F2 V M7 V M8 V	{ -3 }	(500-3)	[0000]	B	0	-15
Knae	M	0232	Knuekhoe	X637000-6	 	Di 		002	Ve	F2 III K3 V	{ -3 }	(300-3)	[0000]	B	0	-9
Knae	M	0235	Dzueroune	X530000-9	 	De Di Po 		000	Ve	K0 V	{ -2 }	(400+1)	[0000]	B	0	4
Knae	M	0236	Dzaeva	X220000-F	 	De Di Po 		004	Ve	M0 V M4 V	{ -1 }	(A00+1)	[0000]	B	0	10
Knae	M	0239	Ekador	D68778A-3	 	Ag Ri Ga 	B	503	Ve	F0 V	{ 0 }	(B6B-4)	[B774]	BC	0	-2904
Knae	M	0240	Llunankerz	X261240-4	 	Lo 		502	Ve	F5 V	{ -3 }	(710+1)	[1162]	B	0	7
Knae	A	0301	Ksouegzoe	E747613-2	 	Ag Ni 	B	614	Va	F0 V M8 V	{ -2 }	(854+1)	[8491]	BC	0	160
Knae	A	0307	Arrghiks	X516000-1	 	Di Ic 		010	Va	M5 V M5 V	{ -3 }	(800+1)	[0000]	B	0	8
Knae	E	0311	Dzoghaen	X334000-A	 	Di 		011	Va	A9 IV K9 V	{ -1 }	(600+1)	[0000]	B	0	6
