Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Knae	A	0101	Dikhoghai	C327778-6	 	Pi 		713	Va	M6 V M8 V	{ 0 }	(764-3)	[]	BD	0	0
1201	Knae	A	0101	Dikhoghai	X327000-6	 	Di Pi 		013	Va	M6 V M8 V	{ -3 }	(700-1)	[0000]	BD	0	-7
1447	Knae	A	0101	Dikhoghai	X327000-6	 	Di Pi 		013	Wild	M6 V M8 V	{ -3 }	(700+1)	[0000]	BD	0	7
1508	Knae	A	0101	Dikhoghai	X327000-6	 	Di 		013	Wild	M6 V M8 V	{ -3 }	(700+1)	[0000]	B	0	7
1900	Knae	A	0101	Dikhoghai	X327553-3	 	Ni 		213	NaVa	M6 V M8 V	{ -3 }	(740+1)	[8254]	B	0	28

1105	Knae	A	0103	Asgvughz	C200875-5	 	Na Pi Ph Va 		703	Va	F2 V	{ 0 }	(472-2)	[]	BDe	0	0
1201	Knae	A	0103	Asgvughz	X200000-5	 	Di Na Pi Va 		003	Va	F2 V	{ -3 }	(400+1)	[0000]	BD	0	4
1447	Knae	A	0103	Asgvughz	X200000-5	 	Di Na Pi Va 		003	Wild	F2 V	{ -3 }	(400+3)	[0000]	BD	0	12
1508	Knae	A	0103	Asgvughz	X200000-5	 	Di Va 		003	Wild	F2 V	{ -3 }	(400-3)	[0000]	B	0	-12
1900	Knae	A	0103	Asgvughz	C200497-7	 	Ni Va 		303	NaVa	F2 V	{ -2 }	(433+5)	[5257]	B	0	180

1105	Knae	A	0104	Zora	B404A78-C	 	Hi Ic Va In 		512	Va	G1 V M6 V	{ 0 }	(D99-3)	[]	BE	0	0
1201	Knae	A	0104	Zora	X404000-C	 	Di Ic Va In 		012	Va	G1 V M6 V	{ 0 }	(D00-3)	[0000]	BE	0	-39
1447	Knae	A	0104	Zora	X404000-C	 	Di Ic Va In 		012	Wild	G1 V M6 V	{ 0 }	(D00-1)	[0000]	BE	0	-13
1508	Knae	A	0104	Zora	X404000-C	 	Di Ic Va 		012	Wild	G1 V M6 V	{ -1 }	(D00-2)	[0000]	B	0	-26
1900	Knae	A	0104	Zora	B404203-B	 	Ic Va Lo 		612	NaVa	G1 V M6 V	{ 1 }	(D11+1)	[233B]	B	0	13

1105	Knae	A	0109	Duegingoeudh	A586630-6	 	Ag Ri Ni 		312	Va	F2 V	{ 0 }	(752-1)	[]	BC	0	0
1201	Knae	A	0109	Duegingoeudh	C586648-6	 	Ag Ri Ni 		412	Va	F2 V	{ 0 }	(756-2)	[A657]	BC	0	-420
1447	Knae	A	0109	Duegingoeudh	C586588-4	 	Ag Pr Ni 		212	Wild	F2 V	{ -1 }	(740+1)	[7471]	BcC	0	28
1508	Knae	A	0109	Duegingoeudh	C586533-4	 	Ag Pr Ni 		312	Wild	F2 V	{ -1 }	(741+1)	[9417]	BcC	0	28
1900	Knae	A	0109	Duegingoeudh	D586543-2	 	Ag Pr Ni 		512	NaVa	F2 V	{ -2 }	(740-1)	[5313]	BcC	0	-28

1105	Knae	E	0111	Anesdokon	C100231-9	 	Lo Va 		702	Va	M0 V M7 V M2 V	{ 0 }	(D10+1)	[]	B	0	0
1201	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Va	M0 V M7 V M2 V	{ -2 }	(D00-3)	[0000]	B	0	-39
1447	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Wild	M0 V M7 V M2 V	{ -2 }	(D00-5)	[0000]	B	0	-65
1508	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Wild	M0 V M7 V M2 V	{ -2 }	(D00+3)	[0000]	B	0	39
1900	Knae	E	0111	Anesdokon	B100479-C	 	Ni Va 		302	NaVa	M0 V M7 V M2 V	{ 1 }	(D32-4)	[552B]	B	0	-312

1105	Knae	E	0115	Karruez	D423464-5	 	Ni Po 		315	VK	G9 V	{ 0 }	(536-1)	[]	B	0	0
