Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Sidi	A	0103	Jashd-16	X637000-0	 	Ba 		010	NaXX	A1 III	{ -3 }	(600+0)	[0000]	B	11	0
1157	Sidi	A	0103	Jashd-16	X637000-0	 	Ba 		010	Wild	A1 III	{ -3 }	(600-2)	[0000]	B	11	-12
1508	Sidi	A	0103	Jashd-16	X637000-0	 	Ba 		010	Wild	A1 III	{ -3 }	(600+1)	[0000]	B	11	6
1201	Sidi	A	0103	Jashd-16	X637000-0	 	Ba 		010	Wild	A1 III	{ -3 }	(600+1)	[0000]	B	11	6
1900	Sidi	A	0103	Jashd-16	X637000-0	 	Ba 		010	Wild	A1 III	{ -3 }	(600+2)	[0000]	B	11	12

1105	Sidi	A	0106	Moblsadldlots	XA9A000-0	 	Ba Oc 		023	NaXX	M5 V	{ -3 }	(400-2)	[0000]	B	12	0
1157	Sidi	A	0106	Moblsadldlots	XA9A000-0	 	Ba Oc 		023	Wild	M5 V	{ -3 }	(400+1)	[0000]	B	12	4
1508	Sidi	A	0106	Moblsadldlots	XA9A000-0	 	Ba Oc 		023	Wild	M5 V	{ -3 }	(400-4)	[0000]	B	12	-16
1201	Sidi	A	0106	Moblsadldlots	XA9A000-0	 	Ba Oc 		023	Wild	M5 V	{ -3 }	(400+4)	[0000]	B	12	16
1900	Sidi	A	0106	Moblsadldlots	XA9A000-0	 	Ba Oc 		023	Wild	M5 V	{ -3 }	(400-1)	[0000]	B	12	-4

1105	Sidi	E	0117	Zhdiqlp-60	X9C7000-0	 	Ba Fl 		023	NaXX	K7 V M1 VI	{ -3 }	(600-1)	[0000]	B	12	0
1157	Sidi	E	0117	Zhdiqlp-60	X9C7000-0	 	Ba Fl 		023	Wild	K7 V M1 VI	{ -3 }	(600+3)	[0000]	B	12	18
1508	Sidi	E	0117	Zhdiqlp-60	X9C7000-0	 	Ba Fl 		023	Wild	K7 V M1 VI	{ -3 }	(600+4)	[0000]	B	12	24
1201	Sidi	E	0117	Zhdiqlp-60	X9C7000-0	 	Ba Fl 		023	Wild	K7 V M1 VI	{ -3 }	(600-2)	[0000]	B	12	-12
1900	Sidi	E	0117	Zhdiqlp-60	X9C7000-0	 	Ba Fl 		023	Wild	K7 V M1 VI	{ -3 }	(600-3)	[0000]	B	12	-18

1105	Sidi	I	0126	Sieflat	X202000-0	 	Ba Ic Va 		000	NaXX	M5 V M1 V	{ -3 }	(700+1)	[0000]	B	7	0
1201	Sidi	I	0126	Sieflat	X202000-0	 	Ba Ic Va 		000	NaXX	M5 V M1 V	{ -3 }	(700-1)	[0000]	B	7	-7
1157	Sidi	I	0126	Sieflat	X202000-0	 	Ba Ic Va 		000	Wild	M5 V M1 V	{ -3 }	(700-2)	[0000]	B	7	-14
1508	Sidi	I	0126	Sieflat	X202000-0	 	Ba Ic Va 		000	Wild	M5 V M1 V	{ -3 }	(700+1)	[0000]	B	7	7
1900	Sidi	I	0126	Sieflat	X202000-0	 	Ba Ic Va 		000	Wild	M5 V M1 V	{ -3 }	(700+2)	[0000]	B	7	14

1105	Sidi	I	0127	Azhzdi-56	X633000-0	 	Ba Po 		023	NaXX	K8 V	{ -3 }	(700+0)	[0000]	B	16	0
1201	Sidi	I	0127	Azhzdi-56	X633000-0	 	Ba Po 		023	NaXX	K8 V	{ -3 }	(700-1)	[0000]	B	16	-7
1157	Sidi	I	0127	Azhzdi-56	X633000-0	 	Ba Po 		023	Wild	K8 V	{ -3 }	(700-1)	[0000]	B	16	-7
1508	Sidi	I	0127	Azhzdi-56	X633000-0	 	Ba Po 		023	Wild	K8 V	{ -3 }	(700+1)	[0000]	B	16	7
1900	Sidi	I	0127	Azhzdi-56	X633000-0	 	Ba Po 		023	Wild	K8 V	{ -3 }	(700+1)	[0000]	B	16	7

1105	Sidi	I	0129	Drtlia-82	X764000-0	 	Ba 		004	NaXX	G8 V M7 VI M0 VI M2 VI	{ -3 }	(500+1)	[0000]	B	15	0
1201	Sidi	I	0129	Drtlia-82	X764000-0	 	Ba 		004	NaXX	G8 V M7 VI M0 VI M2 VI	{ -3 }	(500+1)	[0000]	B	15	5
1157	Sidi	I	0129	Drtlia-82	X764000-0	 	Ba 		004	Wild	G8 V M7 VI M0 VI M2 VI	{ -3 }	(500-1)	[0000]	B	15	-5
1508	Sidi	I	0129	Drtlia-82	X764000-0	 	Ba 		004	Wild	G8 V M7 VI M0 VI M2 VI	{ -3 }	(500+1)	[0000]	B	15	5
1900	Sidi	I	0129	Drtlia-82	X764000-0	 	Ba 		004	Wild	G8 V M7 VI M0 VI M2 VI	{ -3 }	(500-1)	[0000]	B	15	-5

1105	Sidi	M	0131	Ianzajde	X500000-0	 	Ba Va 		024	NaXX	F2 V K8 VI	{ -3 }	(600+1)	[0000]	B	18	0
1201	Sidi	M	0131	Ianzajde	X500000-0	 	Ba Va 		024	NaXX	F2 V K8 VI	{ -3 }	(600+5)	[0000]	B	18	30
1157	Sidi	M	0131	Ianzajde	X500000-0	 	Ba Va 		024	Wild	F2 V K8 VI	{ -3 }	(600-3)	[0000]	B	18	-18
1508	Sidi	M	0131	Ianzajde	X500000-0	 	Ba Va 		024	Wild	F2 V K8 VI	{ -3 }	(600-3)	[0000]	B	18	-18
1900	Sidi	M	0131	Ianzajde	X500000-0	 	Ba Va 		024	Wild	F2 V K8 VI	{ -3 }	(600-2)	[0000]	B	18	-12

1105	Sidi	M	0133	Ozsteiel	A6687AB-A	 	Ag Ri 		223	CsZh	M0 II	{ 5 }	(D6E+0)	[3C2B]	BCf	10	0
