Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Stia	A	0101	Ezh'Qriedle	B0008CF-B	 	As Va Na Pi Ph 		310	Wild	K3 V	{ 2 }	(376+1)	[6A9C]	BDe	0	126
Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+2)	[0000]	B	0	10
Stia	A	0108	Iachteblzda	X866000-B	 	Di Ga 		022	Wild	M3 V	{ -1 }	(B00-1)	[0000]	B	0	-11
Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500+1)	[0000]	B	0	5
Stia	A	0110	Antsyitl	C5558B9-9	 	Pa Ph 		624	Wild	A2 V	{ 0 }	(E76-1)	[884C]	Bce	0	-588
Stia	E	0112	Eints	D610000-5	 	Di 		001	Wild	M4 III	{ -3 }	(900+2)	[0000]	B	0	18
Stia	E	0113	Tselplians	D786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500+1)	[0000]	B	0	5
Stia	E	0114	Aqdianchvran	D72A000-C	 	Di 		020	Wild	K4 V	{ -1 }	(800-2)	[0000]	B	0	-16
Stia	E	0116	Iadlzdiashfl	X438000-0	 	Ba 		022	Wild	M6 V	{ -3 }	(600-1)	[0000]	B	0	-6
Stia	E	0117	Edlieplnaz	B787432-7	 	Ga Ni Pa 		624	Wild	F4 V M0 V	{ -1 }	(832+1)	[5334]	Bc	0	48
Stia	E	0118	Odliebrblal	X67A000-4	 	Di Wa 		022	Wild	G4 V	{ -3 }	(600-2)	[0000]	B	0	-12
Stia	I	0121	Iaktflia	E878798-5	 	Ag Pi 		101	Wild	F8 V	{ -1 }	(A68+1)	[B629]	BCD	0	480
Stia	I	0124	Zhdinzhdkie	X9DA000-E	 	Di Wa 		000	Wild	G3 V	{ -1 }	(700+1)	[0000]	B	0	7
Stia	I	0125	Chtzdelzin	E665000-4	 	Di Ga 		012	Wild	G7 IV	{ -3 }	(900+4)	[0000]	B	0	36
Stia	I	0126	Lansiadekr	X740000-1	 	De He Di Po 		002	Wild	M4 V	{ -3 }	(700+3)	[0000]	B	0	21
Stia	I	0127	Zhdantl	C7676AE-4	 	Ag Ri Ga Ni 		223	Wild	G4 V	{ 0 }	(352-1)	[5666]	BC	0	-30
Stia	I	0130	Iatlinstadl	X7A5000-1	 	Di Fl 		032	Wild	F5 IV	{ -3 }	(900-3)	[0000]	B	0	-27
Stia	M	0132	Tlepldianz	X6A3000-A	 	Di Fl 		013	Wild	M5 V	{ -1 }	(D00-1)	[0000]	B	0	-13
Stia	M	0133	Jdied	X652000-0	 	Ba Po 		002	Wild	F2 III	{ -3 }	(600-3)	[0000]	B	0	-18
Stia	M	0135	Vakldlintch	X867401-3	 	Ga Ni Pa 		422	Wild	K4 IV	{ -3 }	(330-1)	[11A8]	Bc	0	-9
Stia	M	0137	Idlpla'	X310000-B	 	Di 		024	Wild	M3 V	{ -1 }	(A00-3)	[0000]	B	0	-30
Stia	M	0138	Iatlafref	X110000-A	 	Di 		022	Wild	K7 IV	{ -1 }	(A00+1)	[0000]	B	0	10
Stia	A	0202	Kripliv	D310000-7	 	Di 		003	Wild	M8 V M3 V	{ -3 }	(700-1)	[0000]	B	0	-7
Stia	A	0204	Ekrelemeba	A88A6AC-B	 	Ni Ri Wa 		902	Wild	M7 III	{ 2 }	(855+1)	[7879]	BC	0	200
Stia	A	0208	Faqrtlivrib	C9DA537-7	 	Ni Wa 		201	Wild	M6 V	{ -2 }	(540-3)	[7393]	B	0	-60
Stia	A	0209	Atsndr	D564433-1	 	Ni Pa 		212	Wild	K1 IV	{ -3 }	(830-5)	[5123]	Bc	0	-120
Stia	E	0211	Steripr	C000689-7	 	As Va Na Ni 		621	Wild	M1 V	{ -2 }	(452+1)	[9416]	B	0	40
Stia	E	0213	Qlietlstiql	E867000-B	 	Di Ga 		002	Wild	G2 V	{ -1 }	(500+1)	[0000]	B	0	5
Stia	E	0215	Breeha	X430000-9	 	De Di Po 		024	Wild	M1 V M1 V	{ -2 }	(E00+1)	[0000]	B	0	14
