Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Stia	A	0101	Ezh'Qriedle	B000898-C	 	As Va Na Pi Ph 		410	Zc	K3 V	{ 0 }	(377+4)	[]	BDe	0	0
1157	Stia	A	0101	Ezh'Qriedle	B000844-A	 	As Va Na Pi Ph 		210	Wild	K3 V	{ 2 }	(376+1)	[5A4F]	BDe	0	126
1508	Stia	A	0101	Ezh'Qriedle	B0008CF-B	 	As Va Na Pi Ph 		310	Wild	K3 V	{ 2 }	(376+1)	[6A9C]	BDe	0	126
1201	Stia	A	0101	Ezh'Qriedle	X000000-B	 	As Va Di Na Pi 		010	Wild	K3 V	{ -1 }	(300+2)	[0000]	BD	0	6
1900	Stia	A	0101	Ezh'Qriedle	X000000-B	 	As Va Di 		010	Wild	K3 V	{ -1 }	(300+4)	[0000]	B	0	12

1105	Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 	R	313	Zh	G4 V	{ 0 }	(500-2)	[]	B	0	0
1157	Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+1)	[0000]	B	0	5
1508	Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+2)	[0000]	B	0	10
1201	Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+2)	[0000]	B	0	10
1900	Stia	A	0105	Ieda	X8A3000-0	 	Ba Fl 		013	Wild	G4 V	{ -3 }	(500+1)	[0000]	B	0	5

1105	Stia	A	0108	Iachteblzda	A866568-B	 	Ag Pr Ga Ni 		922	Zh	M3 V	{ 0 }	(B41-1)	[]	BcC	0	0
1157	Stia	A	0108	Iachteblzda	X866000-B	 	Di Ga 		022	Wild	M3 V	{ -1 }	(B00+3)	[0000]	B	0	33
1508	Stia	A	0108	Iachteblzda	X866000-B	 	Di Ga 		022	Wild	M3 V	{ -1 }	(B00-1)	[0000]	B	0	-11
1201	Stia	A	0108	Iachteblzda	X866000-B	 	Di Ga 		022	Wild	M3 V	{ -1 }	(B00+4)	[0000]	B	0	44
1900	Stia	A	0108	Iachteblzda	C866687-6	 	Ag Ri Ga Ni 		622	Wild	M3 V	{ 0 }	(753+1)	[565B]	BC	0	105

1105	Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 	R	403	Zh	G3 II	{ 0 }	(500-4)	[]	B	0	0
1157	Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500+2)	[0000]	B	0	10
1508	Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500+1)	[0000]	B	0	5
1201	Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500+3)	[0000]	B	0	15
1900	Stia	A	0109	Shtienzhid	X7A7000-0	 	Ba Fl 		003	Wild	G3 II	{ -3 }	(500-2)	[0000]	B	0	-10

1105	Stia	A	0110	Antsyitl	C5559B9-C	 	Hi 		124	Zh	A2 V	{ 0 }	(E88+1)	[]	BE	0	0
1157	Stia	A	0110	Antsyitl	C555854-9	 	Pa Ph 		524	Wild	A2 V	{ 0 }	(E73+1)	[7836]	Bce	0	294
1508	Stia	A	0110	Antsyitl	C5558B9-9	 	Pa Ph 		624	Wild	A2 V	{ 0 }	(E76-1)	[884C]	Bce	0	-588
1201	Stia	A	0110	Antsyitl	D5558BA-3	 	Pa Ph 	B	624	Wild	A2 V	{ -2 }	(876-1)	[A664]	Bce	0	-336
1900	Stia	A	0110	Antsyitl	D555879-8	 	Pa Ph 	B	524	Wild	A2 V	{ -2 }	(E72+3)	[7658]	Bce	0	588

1105	Stia	E	0112	Eints	C610676-5	 	Na Ni 		601	Zh	M4 III	{ 0 }	(954-1)	[]	B	0	0
1157	Stia	E	0112	Eints	D610000-5	 	Di Na 		001	Wild	M4 III	{ -3 }	(900+2)	[0000]	B	0	18
1508	Stia	E	0112	Eints	D610000-5	 	Di 		001	Wild	M4 III	{ -3 }	(900+2)	[0000]	B	0	18
1201	Stia	E	0112	Eints	X610000-5	 	Di 		001	Wild	M4 III	{ -3 }	(900+1)	[0000]	B	0	9
1900	Stia	E	0112	Eints	X610000-5	 	Di 		001	Wild	M4 III	{ -3 }	(900-1)	[0000]	B	0	-9

1105	Stia	E	0113	Tselplians	C786443-7	 	Ga Ni Pa 		215	Zh	M9 V	{ 0 }	(532-2)	[]	Bc	0	0
1157	Stia	E	0113	Tselplians	D786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500+1)	[0000]	B	0	5
1508	Stia	E	0113	Tselplians	D786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500+1)	[0000]	B	0	5
1201	Stia	E	0113	Tselplians	X786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500-3)	[0000]	B	0	-15
1900	Stia	E	0113	Tselplians	X786000-7	 	Di Ga 		015	Wild	M9 V	{ -3 }	(500-1)	[0000]	B	0	-5

1105	Stia	E	0114	Aqdianchvran	A72A688-C	 	Ni 		320	Zh	K4 V	{ 0 }	(855+2)	[]	B	0	0
1157	Stia	E	0114	Aqdianchvran	D72A000-C	 	Di 		020	Wild	K4 V	{ -1 }	(800+1)	[0000]	B	0	8
1508	Stia	E	0114	Aqdianchvran	D72A000-C	 	Di 		020	Wild	K4 V	{ -1 }	(800-2)	[0000]	B	0	-16
