Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Tien	A	0101	Estetchtiar	E672000-0	 	Ba He 		002	ZhJp	F7 V	{ -3 }	(900+1)	[0000]	B	7	9
1201	Tien	A	0101	Estetchtiar	X672000-0	 	Ba He 		002	ZhJp	F7 V	{ -3 }	(900-1)	[0000]	B	7	-9
1199	Tien	A	0101	Estetchtiar	X672000-0	 	Ba He 		002	Wild	F7 V	{ -3 }	(900-3)	[0000]	B	7	-27
1508	Tien	A	0101	Estetchtiar	X672000-0	 	Ba He 		002	Wild	F7 V	{ -3 }	(900-3)	[0000]	B	7	-27
1900	Tien	A	0101	Estetchtiar	X672000-0	 	Ba He 		002	Wild	F7 V	{ -3 }	(900-1)	[0000]	B	7	-9

1105	Tien	A	0105	Zhdakl	E74577C-5	 	Ag Pi 	A	812	ZhJp	M9 V	{ -1 }	(567-2)	[8625]	BCD	9	-420
1201	Tien	A	0105	Zhdakl	X745788-5	 	Ag Pi 	B	912	ZhJp	M9 V	{ -1 }	(56A-4)	[56A9]	BCD	9	-1200
1199	Tien	A	0105	Zhdakl	X745755-0	 	Ag Pi 		412	Wild	M9 V	{ -1 }	(565+1)	[8681]	BCD	9	150
1508	Tien	A	0105	Zhdakl	X74579C-0	 	Ag Pi 		512	Wild	M9 V	{ -1 }	(566+1)	[5653]	BCD	9	180
1900	Tien	A	0105	Zhdakl	E745856-6	 	Pa Pi Ph 		112	Wild	M9 V	{ -2 }	(575-1)	[B657]	BcDe	9	-175

1105	Tien	A	0107	Iakladr	C544620-6	 	Ag Ni 		803	ZhJp	K9 V D	{ -1 }	(852-1)	[3561]	BC	14	-80
1201	Tien	A	0107	Iakladr	E5446AA-4	 	Ag Ni 	B	903	ZhJp	K9 V D	{ -2 }	(851+1)	[4451]	BC	14	40
1199	Tien	A	0107	Iakladr	E544000-4	 	Di 		003	Wild	K9 V D	{ -3 }	(800+1)	[0000]	B	14	8
1508	Tien	A	0107	Iakladr	E544000-4	 	Di 		003	Wild	K9 V D	{ -3 }	(800-3)	[0000]	B	14	-24
1900	Tien	A	0107	Iakladr	B544231-9	 	Lo 		603	Wild	K9 V D	{ 0 }	(B10+2)	[1254]	B	14	22

1105	Tien	A	0109	Qrariekl	D695641-5	 	Ag Ni 		313	ZhJp	M5 V	{ -1 }	(552+1)	[9595]	BC	11	50
1201	Tien	A	0109	Qrariekl	X695678-4	 	Ag Ni 	B	413	ZhJp	M5 V	{ -2 }	(552-3)	[8415]	BC	11	-150
1199	Tien	A	0109	Qrariekl	X695000-4	 	Di 		013	Wild	M5 V	{ -3 }	(500-3)	[0000]	B	11	-15
1508	Tien	A	0109	Qrariekl	X695000-4	 	Di 		013	Wild	M5 V	{ -3 }	(500+1)	[0000]	B	11	5
1900	Tien	A	0109	Qrariekl	X695674-1	 	Ag Ni 		913	Wild	M5 V	{ -2 }	(554+5)	[6471]	BC	11	500

1105	Tien	E	0113	Astatl	E435666-6	 	Ni Px 		410	ZhJp	M4 V	{ -3 }	(953-5)	[2336]	B	11	-675
1201	Tien	E	0113	Astatl	X435000-6	 	Di Px 		010	ZhJp	M4 V	{ -3 }	(900-2)	[0000]	B	11	-18
1199	Tien	E	0113	Astatl	X435000-6	 	Di Px 		010	Wild	M4 V	{ -3 }	(900-1)	[0000]	B	11	-9
1508	Tien	E	0113	Astatl	X435000-6	 	Di 		010	Wild	M4 V	{ -3 }	(900-4)	[0000]	B	11	-36
1900	Tien	E	0113	Astatl	X435000-6	 	Di 		010	Wild	M4 V	{ -3 }	(900+2)	[0000]	B	11	18

1105	Tien	E	0115	Tenji	E231866-7	 	Na Po Ph 		800	ZhJp	K7 V M4 V	{ -2 }	(A71+2)	[A615]	Be	7	140
1201	Tien	E	0115	Tenji	X231000-7	 	Di Na Po 		000	ZhJp	K7 V M4 V	{ -3 }	(A00+1)	[0000]	B	7	10
1199	Tien	E	0115	Tenji	X231000-7	 	Di Na Po 		000	Wild	K7 V M4 V	{ -3 }	(A00+1)	[0000]	B	7	10
1508	Tien	E	0115	Tenji	X231000-7	 	Di Po 		000	Wild	K7 V M4 V	{ -3 }	(A00-2)	[0000]	B	7	-20
1900	Tien	E	0115	Tenji	X231000-7	 	Di Po 		000	Wild	K7 V M4 V	{ -3 }	(A00-1)	[0000]	B	7	-10

1105	Tien	E	0116	Vlievdiatl	C784630-5	 	Ag Ri Ni 		904	ZhJp	K6 V	{ 0 }	(456+4)	[5684]	BC	8	480
1201	Tien	E	0116	Vlievdiatl	E784734-5	 	Ag Ri 	B	104	ZhJp	K6 V	{ 0 }	(469+1)	[9786]	BC	8	216
1199	Tien	E	0116	Vlievdiatl	E7846BD-1	 	Ag Ri Ni 		504	Wild	K6 V	{ -1 }	(455+2)	[6511]	BC	8	200
1508	Tien	E	0116	Vlievdiatl	E784688-2	 	Ag Ri Ni 		504	Wild	K6 V	{ -1 }	(452+1)	[1523]	BC	8	40
1900	Tien	E	0116	Vlievdiatl	B784435-8	 	Ni Pa 		404	Wild	K6 V	{ -1 }	(831+3)	[3319]	Bc	8	72

1105	Tien	E	0118	Driedach	E8A6000-0	 	Ba Fl 		004	ZhJp	F3 V D	{ -2 }	(900-2)	[0000]	B	9	-18
1201	Tien	E	0118	Driedach	X8A6000-0	 	Ba Fl 		004	ZhJp	F3 V D	{ -3 }	(900+3)	[0000]	B	9	27
1199	Tien	E	0118	Driedach	X8A6000-0	 	Ba Fl 		004	Wild	F3 V D	{ -3 }	(900+1)	[0000]	B	9	9
1508	Tien	E	0118	Driedach	X8A6000-0	 	Ba Fl 		004	Wild	F3 V D	{ -3 }	(900+2)	[0000]	B	9	18
1900	Tien	E	0118	Driedach	X8A6000-0	 	Ba Fl 		004	Wild	F3 V D	{ -3 }	(900+1)	[0000]	B	9	9

1105	Tien	I	0121	Ashanedli	E200433-7	 	Ni Va 	A	702	ZhJp	M3 V	{ -3 }	(833-1)	[1138]	B	10	-72
1201	Tien	I	0121	Ashanedli	X200000-7	 	Di Va 		002	ZhJp	M3 V	{ -3 }	(800+3)	[0000]	B	10	24
