Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Wind	A	0104	Dognezafue	E989585-3	 	Ni Pr 		403	VVar	F7 V M6 V	{ -3 }	(741-5)	[3231]	Bc	10	-140
1201	Wind	A	0104	Dognezafue	X989550-0	 	Ni Pr 	B	303	VVar	F7 V M6 V	{ -3 }	(741-1)	[3261]	Bc	10	-28
1199	Wind	A	0104	Dognezafue	X989000-0	 	Ba 		003	Wild	F7 V M6 V	{ -3 }	(700+2)	[0000]	B	10	14
1508	Wind	A	0104	Dognezafue	X989000-0	 	Ba 		003	Wild	F7 V M6 V	{ -3 }	(700+1)	[0000]	B	10	7
1900	Wind	A	0104	Dognezafue	X989000-0	 	Ba 		003	Wild	F7 V M6 V	{ -3 }	(700+1)	[0000]	B	10	7

1105	Wind	E	0111	Kfoghuenggzu	C554799-4	 	Ag 		303	VVar	F1 V M2 V	{ 0 }	(966+1)	[8765]	BC	12	324
1201	Wind	E	0111	Kfoghuenggzu	E554768-2	 	Ag 	B	403	VVar	F1 V M2 V	{ -1 }	(963-3)	[4651]	BC	12	-486
1199	Wind	E	0111	Kfoghuenggzu	E5547CE-0	 	Ag 		203	Wild	F1 V M2 V	{ -1 }	(96B+1)	[2651]	BC	12	594
1508	Wind	E	0111	Kfoghuenggzu	E5547AA-1	 	Ag 		303	Wild	F1 V M2 V	{ -1 }	(967+1)	[9661]	BC	12	378
1900	Wind	E	0111	Kfoghuenggzu	B554335-7	 	Lo 		903	Wild	F1 V M2 V	{ -1 }	(920+1)	[127A]	B	12	18

1105	Wind	E	0113	Seos	B576685-5	 	Ag Ni 		213	VVar	F9 V M8 V M3 V	{ 0 }	(854-2)	[4633]	BC	11	-320
1201	Wind	E	0113	Seos	D576685-5	 	Ag Ni 		313	VVar	F9 V M8 V M3 V	{ -2 }	(853-4)	[A449]	BC	11	-480
1199	Wind	E	0113	Seos	D576000-5	 	Di 		013	Wild	F9 V M8 V M3 V	{ -3 }	(800+1)	[0000]	B	11	8
1508	Wind	E	0113	Seos	D576000-5	 	Di 		013	Wild	F9 V M8 V M3 V	{ -3 }	(800+5)	[0000]	B	11	40
1900	Wind	E	0113	Seos	C576746-3	 	Ag Pi 		413	Wild	F9 V M8 V M3 V	{ 0 }	(86C+2)	[5775]	BCD	11	1152

1105	Wind	M	0137	Thognu	E543864-5	 	Ph Pi Po 		104	VNgC	F4 V	{ -2 }	(A75-4)	[6633]	BDe	11	-1400
1201	Wind	M	0137	Thognu	X543100-2	 	Lo Po 		504	VNgC	F4 V	{ -3 }	(A00+1)	[1171]	B	11	10
1199	Wind	M	0137	Thognu	X543000-2	 	Di Po 		004	Wild	F4 V	{ -3 }	(A00+1)	[0000]	B	11	10
1508	Wind	M	0137	Thognu	X543000-2	 	Di Po 		004	Wild	F4 V	{ -3 }	(A00+1)	[0000]	B	11	10
1900	Wind	M	0137	Thognu	X543000-2	 	Di Po 		004	Wild	F4 V	{ -3 }	(A00-1)	[0000]	B	11	-10

1105	Wind	A	0202	Dzoulodzzueng	B555774-A	 	Ag 		913	VVar	F9 V M8 V	{ 3 }	(D6C+1)	[5A38]	BC	17	936
1201	Wind	A	0202	Dzoulodzzueng	X555775-5	 	Ag 	B	913	VVar	F9 V M8 V	{ -1 }	(966+2)	[B663]	BC	17	648
1199	Wind	A	0202	Dzoulodzzueng	X55577C-0	 	Ag 		413	Wild	F9 V M8 V	{ -1 }	(966+5)	[9622]	BC	17	1620
1508	Wind	A	0202	Dzoulodzzueng	X555720-1	 	Ag 		413	Wild	F9 V M8 V	{ -1 }	(966+3)	[4623]	BC	17	972
1900	Wind	A	0202	Dzoulodzzueng	B555697-A	 	Ag Ni 		813	Wild	F9 V M8 V	{ 2 }	(D55-2)	[B88A]	BC	17	-650

1105	Wind	A	0204	Lliurr	EAE49C9-4	 	Hi 	A	514	VVar	F4 V	{ -1 }	(B86+1)	[A865]	BE	16	528
1201	Wind	A	0204	Lliurr	XAE4000-4	 	Di 		014	VVar	F4 V	{ -3 }	(B00+2)	[0000]	B	16	22
1199	Wind	A	0204	Lliurr	XAE4000-4	 	Di 		014	Wild	F4 V	{ -3 }	(B00-1)	[0000]	B	16	-11
1508	Wind	A	0204	Lliurr	XAE4000-4	 	Di 		014	Wild	F4 V	{ -3 }	(B00-1)	[0000]	B	16	-11
1900	Wind	A	0204	Lliurr	XAE4000-4	 	Di 		014	Wild	F4 V	{ -3 }	(B00+1)	[0000]	B	16	11

1105	Wind	A	0206	Ghoearrg	D000257-A	 	As Va Lo 		607	VVar	G3 V M7 V M1 V	{ -1 }	(B10-1)	[215A]	B	18	-11
1201	Wind	A	0206	Ghoearrg	X000000-A	 	As Va Di 		007	VVar	G3 V M7 V M1 V	{ -1 }	(B00-4)	[0000]	B	18	-44
1199	Wind	A	0206	Ghoearrg	X000000-A	 	As Va Di 		007	Wild	G3 V M7 V M1 V	{ -1 }	(B00-1)	[0000]	B	18	-11
1508	Wind	A	0206	Ghoearrg	X000000-A	 	As Va Di 		007	Wild	G3 V M7 V M1 V	{ -1 }	(B00+2)	[0000]	B	18	22
1900	Wind	A	0206	Ghoearrg	X000000-A	 	As Va Di 		007	Wild	G3 V M7 V M1 V	{ -1 }	(B00+1)	[0000]	B	18	11

1105	Wind	A	0207	Oganaksfouts	B797366-8	 	Lo 		904	VVar	F1 V	{ -1 }	(920-2)	[2247]	B	9	-36
1201	Wind	A	0207	Oganaksfouts	D797201-7	 	Lo 		904	VVar	F1 V	{ -3 }	(510+2)	[2168]	B	9	10
1199	Wind	A	0207	Oganaksfouts	D797000-7	 	Di 		004	Wild	F1 V	{ -3 }	(500+1)	[0000]	B	9	5
1508	Wind	A	0207	Oganaksfouts	D797000-7	 	Di 		004	Wild	F1 V	{ -3 }	(500+1)	[0000]	B	9	5
1900	Wind	A	0207	Oganaksfouts	D797000-7	 	Di 		004	Wild	F1 V	{ -3 }	(500-1)	[0000]	B	9	-5

1105	Wind	E	0211	Dharukeksoue	C200A79-9	 	Hi Na In Va 		505	VVar	K0 V	{ 2 }	(H9C+3)	[BC6A]	BE	18	5508
1201	Wind	E	0211	Dharukeksoue	X200000-9	 	Di Na In Va 		005	VVar	K0 V	{ -1 }	(H00-2)	[0000]	BE	18	-34
1199	Wind	E	0211	Dharukeksoue	X200000-9	 	Di Na In Va 		005	Wild	K0 V	{ -1 }	(H00+1)	[0000]	BE	18	17
1508	Wind	E	0211	Dharukeksoue	X200000-9	 	Di Va 		005	Wild	K0 V	{ -2 }	(H00+1)	[0000]	B	18	17
1900	Wind	E	0211	Dharukeksoue	E200774-3	 	Na Pi Va 		305	Wild	K0 V	{ -2 }	(C63-1)	[9514]	BD	18	-216

1105	Wind	M	0237	Goza	C867557-5	 	Ag Pr Ga Ni 		704	VNgC	F9 V	{ -1 }	(743-1)	[5455]	BcC	7	-84
1201	Wind	M	0237	Goza	E867532-4	 	Ag Pr Ga Ni 		404	VNgC	F9 V	{ -2 }	(741+2)	[7351]	BcC	7	56
1199	Wind	M	0237	Goza	E867000-4	 	Di Ga 		004	Wild	F9 V	{ -3 }	(700-4)	[0000]	B	7	-28
1508	Wind	M	0237	Goza	E867000-4	 	Di Ga 		004	Wild	F9 V	{ -3 }	(700+2)	[0000]	B	7	14
1900	Wind	M	0237	Goza	B867222-6	 	Ga Lo 		404	Wild	F9 V	{ -1 }	(710-1)	[1166]	B	7	-7

