Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zdie	A	0101	Edrtlrm	D483000-2	 	Di 		022	Wild		{ -3 }	(700-3)	[0000]	B	0	-21
Zdie	A	0104	Iefle	C6A177B-6	 	Fl He 		504	Wild		{ -1 }	(467+2)	[8656]	B	0	336
Zdie	A	0109	Shedrzhded	X754000-C	 	Di 		024	Wild		{ -1 }	(C00+1)	[0000]	B	0	12
Zdie	E	0112	Deplzdadrdrn	X676000-0	 	Ba 		014	Wild		{ -3 }	(300+2)	[0000]	B	0	6
Zdie	E	0116	Imdrinsh	D353000-7	 	Di Po 		023	Wild		{ -3 }	(700-1)	[0000]	B	0	-7
Zdie	E	0119	Aqlsto'	E88747A-2	 	Ga Ni Pa 		114	Wild		{ -3 }	(433-1)	[3173]	Bc	0	-36
Zdie	I	0122	Jejdiaiab	X655427-0	 	Ga Ni Pa 		212	Wild		{ -3 }	(A33-1)	[5162]	Bc	0	-90
Zdie	M	0132	Eddrial	E3657AF-3	 	Ag Ri 		224	Wild		{ 0 }	(769+1)	[C721]	BC	0	378
Zdie	M	0135	Adrkan	E140000-6	 	De Di Po 		024	Wild		{ -3 }	(400-3)	[0000]	B	0	-12
Zdie	A	0206	Iesta-86	X376000-0	 	Ba 		012	Wild		{ -3 }	(500-2)	[0000]	B	0	-10
Zdie	A	0207	Zhiashjinsh-5	X481000-0	 	Ba 		000	Wild		{ -3 }	(500+2)	[0000]	B	0	10
Zdie	A	0208	Bliedlsi'	C4627B8-2	 	Ri 		223	Wild		{ 0 }	(369+4)	[A793]	BC	0	648
Zdie	A	0209	Zhdiashjda	E344000-7	 	Di 		014	Wild		{ -3 }	(300+1)	[0000]	B	0	3
Zdie	A	0210	Afldeblzhdizh	CA5A456-6	 	Ni Oc 		502	Wild		{ -2 }	(930+1)	[5285]	B	0	27
Zdie	E	0211	Zdiae-20	X200000-0	 	Ba Va 		013	Wild		{ -3 }	(B00+4)	[0000]	B	0	44
Zdie	E	0216	Emenshkiz	X500000-0	 	Ba Va 		002	Wild		{ -3 }	(700+1)	[0000]	B	0	7
Zdie	I	0222	Entikqrie	X769441-0	 	Ni 		103	Wild		{ -3 }	(732-2)	[71A1]	B	0	-84
Zdie	I	0223	Rdrze	X213000-7	 	Di Ic 		000	Wild		{ -3 }	(900+1)	[0000]	B	0	9
Zdie	I	0224	Dividonsh	X7A6000-0	 	Ba Fl 		032	Wild		{ -3 }	(600+2)	[0000]	B	0	12
Zdie	I	0227	Zhapiefiaqr	X120000-8	 	De Di Po 		013	Wild		{ -3 }	(900+3)	[0000]	B	0	27
Zdie	I	0229	Dliefrshtrpl	X300000-9	 	Di Va 		025	Wild		{ -2 }	(G00-1)	[0000]	B	0	-16
Zdie	I	0230	Diavtliav	X352000-7	 	Di Po 		024	Wild		{ -3 }	(A00-2)	[0000]	B	0	-20
Zdie	A	0301	Iqrech	X442000-0	 	Ba He Po 		022	Wild		{ -3 }	(900+1)	[0000]	B	0	9
Zdie	A	0302	Vlefr-46	X624000-0	 	Ba 		013	Wild		{ -3 }	(900+3)	[0000]	B	0	27
Zdie	A	0305	Iencha	X845000-0	 	Ba 		002	Wild		{ -3 }	(500+1)	[0000]	B	0	5
Zdie	A	0310	Prieshl-58	X200000-0	 	Ba Va 		000	Wild		{ -3 }	(500+1)	[0000]	B	0	5
Zdie	E	0317	Dlantpiap	X574000-0	 	Ba 		004	Wild		{ -3 }	(600+2)	[0000]	B	0	12
Zdie	E	0318	Kridtlie	X100000-8	 	Di Va 		000	Wild		{ -3 }	(B00-3)	[0000]	B	0	-33
Zdie	E	0319	Sabriatsdie	D889452-3	 	Ni 		221	Wild		{ -3 }	(830+1)	[2146]	B	0	24
Zdie	I	0326	Chizqrie	X586000-1	 	Di 		000	Wild		{ -3 }	(800-3)	[0000]	B	0	-24
Zdie	M	0332	Plit-79	X252000-0	 	Ba Po 		020	Wild		{ -3 }	(200+1)	[0000]	B	0	2
Zdie	A	0402	Rodraprdriez	X8C1000-0	 	Ba Fl He 		003	Wild		{ -3 }	(A00+4)	[0000]	B	0	40
Zdie	A	0403	Aplsazhdinzh	B000400-8	 	As Va Ni 		512	Wild		{ -1 }	(C31+1)	[5357]	B	0	36
Zdie	A	0407	Zekrlief	X6B0000-0	 	Ba He 		004	Wild		{ -3 }	(400+1)	[0000]	B	0	4
Zdie	A	0409	Prrvste	D200000-A	 	Di Va 		001	Wild		{ -1 }	(500+1)	[0000]	B	0	5
Zdie	E	0413	Aqrdleiepl	D000000-9	 	As Va Di 		022	Wild		{ -2 }	(D00-4)	[0000]	B	0	-52
Zdie	E	0418	Sanshyietlab	X534000-7	 	Di 		005	Wild		{ -3 }	(600-1)	[0000]	B	0	-6
Zdie	E	0419	Tapi	X87A000-1	 	Di Wa 		024	Wild		{ -3 }	(400-1)	[0000]	B	0	-4
Zdie	I	0425	Leo	C351775-9	 	Po 		420	ZhIa		{ 0 }	(767-1)	[9769]	B	0	-294
Zdie	I	0429	Febrri'	D765777-4	 	Ag Ri Ga 	B	500	ZhIa		{ 0 }	(266+4)	[A713]	BC	0	288
Zdie	I	0430	Dliaa'	X354435-2	 	Ni Pa 		224	ZhIa		{ -3 }	(530+1)	[5191]	Bc	0	15
Zdie	M	0432	Uevro	E351522-5	 	Ni Po 		222	Dr		{ -3 }	(840-3)	[125A]	B	0	-96
Zdie	A	0502	Enrepla	X65A000-0	 	Ba Wa 		014	Wild		{ -3 }	(800-1)	[0000]	B	0	-8
Zdie	A	0506	Dedrchteb	C986448-2	 	Ni Pa 		301	Wild		{ -2 }	(530+1)	[4223]	Bc	0	15
Zdie	A	0508	Tlalkl-88	X242000-0	 	Ba Po 		003	Wild		{ -3 }	(300+2)	[0000]	B	0	6
Zdie	E	0516	Stebrdla	B536432-5	W	Ni 		514	Wild		{ 0 }	(632+4)	[4412]	B	0	144
Zdie	E	0517	Vlaqtlie	X523000-0	 	Ba Po 		010	Wild		{ -3 }	(A00+1)	[0000]	B	0	10
Zdie	I	0521	Qleastia	X79A569-3	 	Ni Wa 	B	322	ZhIa		{ -3 }	(C40+1)	[2284]	B	0	48
Zdie	I	0522	Dozhtsachtie	X300000-A	 	Di Na Va 		000	ZhIa		{ -1 }	(800-3)	[0000]	B	0	-24
Zdie	I	0528	Tliprzhepr	X648000-0	 	Ba 		033	ZhIa		{ -3 }	(500+1)	[0000]	B	0	5
Zdie	M	0531	Ple'qlef	X456154-6	 	Lo 		511	ZhIa		{ -3 }	(A00+2)	[1153]	B	0	20
Zdie	A	0601	Pafle	X260000-0	 	Ba De 		003	Wild		{ -3 }	(A00-4)	[0000]	B	0	-40
Zdie	A	0602	Vropltliazia	X514000-0	 	Ba Ic 		023	Wild		{ -3 }	(500-5)	[0000]	B	0	-25
Zdie	A	0603	Yanshkr-70	X542000-0	 	Ba He Po 		023	Wild		{ -3 }	(800-3)	[0000]	B	0	-24
