Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Zdie	A	0101	Edrtlrm	D483698-2	 	Ni Ri 		922	CsZh		{ 0 }	(755+1)	[]	BC	0	0
1157	Zdie	A	0101	Edrtlrm	D483000-2	 	Di 		022	Wild		{ -3 }	(700-3)	[0000]	B	0	-21
1508	Zdie	A	0101	Edrtlrm	D483000-2	 	Di 		022	Wild		{ -3 }	(700-2)	[0000]	B	0	-14
1201	Zdie	A	0101	Edrtlrm	X483000-2	 	Di 		022	Wild		{ -3 }	(700+3)	[0000]	B	0	21
1900	Zdie	A	0101	Edrtlrm	C483650-5	 	Ni Ri 		522	Wild		{ -1 }	(754-4)	[55A4]	BC	0	-560

1105	Zdie	A	0104	Iefle	C6A18AA-8	 	Fl He Ph 		104	CsZh		{ 0 }	(877+1)	[]	Be	0	0
1157	Zdie	A	0104	Iefle	C6A177B-6	 	Fl He 		504	Wild		{ -1 }	(467+2)	[8656]	B	0	336
1508	Zdie	A	0104	Iefle	C6A1799-7	 	Fl He 		604	Wild		{ -1 }	(465-5)	[8676]	B	0	-600
1201	Zdie	A	0104	Iefle	X6A1000-7	 	Di Fl He 		004	Wild		{ -3 }	(400+1)	[0000]	B	0	4
1900	Zdie	A	0104	Iefle	X6A1000-7	 	Di Fl He 		004	Wild		{ -3 }	(400+4)	[0000]	B	0	16

1105	Zdie	A	0109	Shedrzhded	B754455-C	 	Ni Pa 		624	CsZh		{ 0 }	(C34-2)	[]	Bc	0	0
1157	Zdie	A	0109	Shedrzhded	X754000-C	 	Di 		024	Wild		{ -1 }	(C00+1)	[0000]	B	0	12
1508	Zdie	A	0109	Shedrzhded	X754000-C	 	Di 		024	Wild		{ -1 }	(C00+2)	[0000]	B	0	24
1201	Zdie	A	0109	Shedrzhded	X754000-C	 	Di 		024	Wild		{ -1 }	(C00-5)	[0000]	B	0	-60
