Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Wild	M6 V	{ -1 }	(F00+1)	[0000]	B	0	15
Zhda	A	0110	Enzhtladr	X687000-9	 	Di Ga 		012	Wild	M7 V	{ -2 }	(D00-2)	[0000]	B	0	-26
Zhda	E	0115	Pradjaie	X745000-6	 	Di 		004	Wild	M4 D	{ -3 }	(600+2)	[0000]	B	0	12
Zhda	E	0116	Oddlekliekl	X567000-7	 	Di 		010	Wild	F4 V	{ -3 }	(400-1)	[0000]	B	0	-4
Zhda	E	0119	Te Zdansaa	X582000-2	 	Di 		002	Wild	F4 V	{ -3 }	(A00+1)	[0000]	B	0	10
Zhda	E	0120	Tiatlieadev	X400000-E	 	Di Na In Va 		024	Wild	M5 V	{ 0 }	(B00+4)	[0000]	BE	0	44
Zhda	I	0123	Ratlechzder	D342000-6	 	Di He Po 		021	Wild	F7 D	{ -3 }	(300-2)	[0000]	B	0	-6
Zhda	I	0126	Dlelstekre	C88A620-8	 	Ni Ri Wa 		303	Wild	F1 V	{ -1 }	(A50-1)	[A55A]	BC	0	-50
Zhda	I	0129	Dlivldla	X795000-4	 	Di 		003	Wild	F0 D	{ -3 }	(700+1)	[0000]	B	0	7
Zhda	I	0130	Anchvlanzhad	X552000-3	 	Di Po 		005	Wild	F7 V M3 V	{ -3 }	(C00-2)	[0000]	B	0	-24
Zhda	M	0132	Pemchtod	X87A000-1	 	Di Wa 		013	Wild	K0 V	{ -3 }	(A00-2)	[0000]	B	0	-20
Zhda	M	0133	Iazdizh	X8B8000-C	 	Di Fl 		023	Wild	M1 V	{ -1 }	(C00+1)	[0000]	B	0	12
Zhda	M	0137	Dabryo	X46A431-1	 	Ni Wa 		114	Wild	M8 D	{ -3 }	(432+4)	[7173]	B	0	96
Zhda	A	0203	Vezhna	C46588C-3	 	Pa Ri Ph 		203	Wild	F7 V M6 D	{ 0 }	(A78+1)	[9851]	BcCe	0	560
Zhda	A	0208	Ianshenj	X527000-B	 	Di Pi 		003	Wild	F9 V M5 V	{ -1 }	(A00-4)	[0000]	BD	0	-40
Zhda	E	0212	Qianienshietl	X776000-3	 	Di 		004	Wild	M3 V	{ -3 }	(300-4)	[0000]	B	0	-12
Zhda	E	0213	Lofenzh	X55A000-5	 	Di Wa 		021	Wild	F3 V M2 D	{ -3 }	(800-2)	[0000]	B	0	-16
Zhda	E	0214	Ivin	X98A477-1	 	Ni Wa 		211	Wild	F5 V	{ -3 }	(B30+1)	[3141]	B	0	33
Zhda	E	0216	Azzdedr	X311000-8	 	Di Ic Na Pi 		010	Wild	F6 V M5 V	{ -3 }	(700+5)	[0000]	BD	0	35
Zhda	I	0223	Aqanzzhdiabl	X211000-9	 	Di Ic 		003	Wild	M3 V F6 V	{ -2 }	(B00+2)	[0000]	B	0	22
Zhda	I	0224	Qievjach	E76A5A7-6	 	Ni Pr Wa 		104	Wild	F1 V	{ -3 }	(442+1)	[5218]	Bc	0	32
