Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Zhda	A	0109	Ilviei	C200431-C	 	Ni Va 		504	Zh	M6 V	{ 0 }	(F36+3)	[]	B	0	0
1201	Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Zh	M6 V	{ -1 }	(F00+2)	[0000]	B	0	30
1199	Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Wild	M6 V	{ -1 }	(F00+1)	[0000]	B	0	15
1508	Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Wild	M6 V	{ -1 }	(F00-1)	[0000]	B	0	-15
1900	Zhda	A	0109	Ilviei	X200000-C	 	Di Va 		004	Wild	M6 V	{ -1 }	(F00+2)	[0000]	B	0	30

1105	Zhda	A	0110	Enzhtladr	A687658-D	 	Ag Ri Ga Ni 		612	Zh	M7 V	{ 0 }	(D56+1)	[]	BC	0	0
1201	Zhda	A	0110	Enzhtladr	X68766D-9	 	Ag Ri Ga Ni 	B	612	Zh	M7 V	{ 0 }	(D53+1)	[B647]	BC	0	195
1199	Zhda	A	0110	Enzhtladr	X687000-9	 	Di Ga 		012	Wild	M7 V	{ -2 }	(D00-2)	[0000]	B	0	-26
1508	Zhda	A	0110	Enzhtladr	X687000-9	 	Di Ga 		012	Wild	M7 V	{ -2 }	(D00-1)	[0000]	B	0	-13
1900	Zhda	A	0110	Enzhtladr	D687300-8	 	Ga Lo 		812	Wild	M7 V	{ -3 }	(D20+3)	[419C]	B	0	78

1105	Zhda	E	0115	Pradjaie	D745486-7	 	Ni Pa 		904	Zh	M4 D	{ 0 }	(631+1)	[]	Bc	0	0
1201	Zhda	E	0115	Pradjaie	X745434-6	 	Ni Pa 	B	504	Zh	M4 D	{ -3 }	(631+1)	[5166]	Bc	0	18
1199	Zhda	E	0115	Pradjaie	X745000-6	 	Di 		004	Wild	M4 D	{ -3 }	(600+2)	[0000]	B	0	12
1508	Zhda	E	0115	Pradjaie	X745000-6	 	Di 		004	Wild	M4 D	{ -3 }	(600+1)	[0000]	B	0	6
1900	Zhda	E	0115	Pradjaie	X745000-6	 	Di 		004	Wild	M4 D	{ -3 }	(600+1)	[0000]	B	0	6

1105	Zhda	E	0116	Oddlekliekl	D567324-8	 	Lo 		210	Zh	F4 V	{ 0 }	(520-1)	[]	B	0	0
1201	Zhda	E	0116	Oddlekliekl	X567172-7	 	Lo 		610	Zh	F4 V	{ -3 }	(400-2)	[1146]	B	0	-8
1199	Zhda	E	0116	Oddlekliekl	X567000-7	 	Di 		010	Wild	F4 V	{ -3 }	(400-1)	[0000]	B	0	-4
1508	Zhda	E	0116	Oddlekliekl	X567000-7	 	Di 		010	Wild	F4 V	{ -3 }	(400+1)	[0000]	B	0	4
1900	Zhda	E	0116	Oddlekliekl	X567000-7	 	Di 		010	Wild	F4 V	{ -3 }	(400-2)	[0000]	B	0	-8

1105	Zhda	E	0119	Te Zdansaa	E582674-5	 	Ni Ri 		302	Zh	F4 V	{ 0 }	(A52-1)	[]	BC	0	0
1201	Zhda	E	0119	Te Zdansaa	X58266E-2	 	Ni Ri 	B	402	Zh	F4 V	{ -2 }	(A53-4)	[4456]	BC	0	-600
1199	Zhda	E	0119	Te Zdansaa	X582000-2	 	Di 		002	Wild	F4 V	{ -3 }	(A00+1)	[0000]	B	0	10
1508	Zhda	E	0119	Te Zdansaa	X582000-2	 	Di 		002	Wild	F4 V	{ -3 }	(A00-3)	[0000]	B	0	-30
1900	Zhda	E	0119	Te Zdansaa	B582754-A	 	Ri 		802	Wild	F4 V	{ 3 }	(C6B-1)	[CA2A]	BC	0	-792

1105	Zhda	E	0120	Tiatlieadev	A400AAA-E	D 	Hi Na In Va 		724	Zh	M5 V	{ 0 }	(B99+2)	[]	BE	0	0
1201	Zhda	E	0120	Tiatlieadev	X400000-E	 	Di Na In Va 		024	Zh	M5 V	{ 0 }	(B00-3)	[0000]	BE	0	-33
1199	Zhda	E	0120	Tiatlieadev	X400000-E	 	Di Na In Va 		024	Wild	M5 V	{ 0 }	(B00+4)	[0000]	BE	0	44
1508	Zhda	E	0120	Tiatlieadev	X400000-E	 	Di Va 		024	Wild	M5 V	{ -1 }	(B00-2)	[0000]	B	0	-22
1900	Zhda	E	0120	Tiatlieadev	D400743-4	 	Na Pi Va 		424	Wild	M5 V	{ -2 }	(563+2)	[45A4]	BD	0	180

1105	Zhda	I	0123	Ratlechzder	B3427AB-A	 	He Pi Po 		221	Zh	F7 D	{ 0 }	(662+3)	[]	BD	0	0
1201	Zhda	I	0123	Ratlechzder	D342658-6	 	He Ni Po 		221	Zh	F7 D	{ -3 }	(350-1)	[5354]	B	0	-15
1199	Zhda	I	0123	Ratlechzder	D342000-6	 	Di He Po 		021	Wild	F7 D	{ -3 }	(300-2)	[0000]	B	0	-6
1508	Zhda	I	0123	Ratlechzder	D342000-6	 	Di He Po 		021	Wild	F7 D	{ -3 }	(300+4)	[0000]	B	0	12
1900	Zhda	I	0123	Ratlechzder	D342000-6	 	Di He Po 		021	Wild	F7 D	{ -3 }	(300-5)	[0000]	B	0	-15

1105	Zhda	I	0126	Dlelstekre	A88A6A8-E	 	Ni Ri Wa 		603	Zh	F1 V	{ 0 }	(A54-4)	[]	BC	0	0
1201	Zhda	I	0126	Dlelstekre	C88A645-9	 	Ni Ri Wa 		603	Zh	F1 V	{ 0 }	(A56+1)	[A678]	BC	0	300
1199	Zhda	I	0126	Dlelstekre	C88A620-8	 	Ni Ri Wa 		303	Wild	F1 V	{ -1 }	(A50-1)	[A55A]	BC	0	-50
1508	Zhda	I	0126	Dlelstekre	C88A647-9	 	Ni Ri Wa 		403	Wild	F1 V	{ 0 }	(A52+1)	[564B]	BC	0	100
1900	Zhda	I	0126	Dlelstekre	E88A78B-8	 	Ri Wa 		403	Wild	F1 V	{ -1 }	(A62+2)	[8626]	BC	0	240

1105	Zhda	I	0129	Dlivldla	A795ADD-D	 	Hi In 		503	Zh	F0 D	{ 0 }	(A98+1)	[]	BE	0	0
1201	Zhda	I	0129	Dlivldla	X795201-4	 	Lo 		203	Zh	F0 D	{ -3 }	(710+1)	[1191]	B	0	7
1199	Zhda	I	0129	Dlivldla	X795000-4	 	Di 		003	Wild	F0 D	{ -3 }	(700+1)	[0000]	B	0	7
1508	Zhda	I	0129	Dlivldla	X795000-4	 	Di 		003	Wild	F0 D	{ -3 }	(700-1)	[0000]	B	0	-7
1900	Zhda	I	0129	Dlivldla	C795658-4	 	Ag Ni 		803	Wild	F0 D	{ -1 }	(751+5)	[8583]	BC	0	175

1105	Zhda	I	0130	Anchvlanzhad	E552312-4	 	Lo Po 		905	Zh	F7 V M3 V	{ 0 }	(C20+3)	[]	B	0	0
1201	Zhda	I	0130	Anchvlanzhad	X552175-3	 	Lo Po 	B	305	Zh	F7 V M3 V	{ -3 }	(C00+1)	[4142]	B	0	12
1199	Zhda	I	0130	Anchvlanzhad	X552000-3	 	Di Po 		005	Wild	F7 V M3 V	{ -3 }	(C00-2)	[0000]	B	0	-24
1508	Zhda	I	0130	Anchvlanzhad	X552000-3	 	Di Po 		005	Wild	F7 V M3 V	{ -3 }	(C00+2)	[0000]	B	0	24
1900	Zhda	I	0130	Anchvlanzhad	X552000-3	 	Di Po 		005	Wild	F7 V M3 V	{ -3 }	(C00-3)	[0000]	B	0	-36

1105	Zhda	M	0132	Pemchtod	B87A455-B	 	Ni Wa 		613	Zh	K0 V	{ 0 }	(E33+2)	[]	B	0	0
1201	Zhda	M	0132	Pemchtod	X87A476-1	 	Ni Wa 		313	Zh	K0 V	{ -3 }	(A33+3)	[6131]	B	0	270
1199	Zhda	M	0132	Pemchtod	X87A000-1	 	Di Wa 		013	Wild	K0 V	{ -3 }	(A00-2)	[0000]	B	0	-20
1508	Zhda	M	0132	Pemchtod	X87A000-1	 	Di Wa 		013	Wild	K0 V	{ -3 }	(A00-4)	[0000]	B	0	-40
1900	Zhda	M	0132	Pemchtod	X87A000-1	 	Di Wa 		013	Wild	K0 V	{ -3 }	(A00+2)	[0000]	B	0	20

1105	Zhda	M	0133	Iazdizh	B8B8574-C	 	Fl Ni 		523	Zh	M1 V	{ 0 }	(C42-1)	[]	B	0	0
1201	Zhda	M	0133	Iazdizh	X8B8000-C	 	Di Fl 		023	Zh	M1 V	{ -1 }	(C00+1)	[0000]	B	0	12
1199	Zhda	M	0133	Iazdizh	X8B8000-C	 	Di Fl 		023	Wild	M1 V	{ -1 }	(C00+1)	[0000]	B	0	12
