Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ziaf	A	0101	Jadljetefl	B200444-A	 	Ni Va 		210	Wild	F5 V	{ 1 }	(737+1)	[652A]	B	8	147
Ziaf	A	0103	Ens Zhdo	X568775-1	 	Ag Ri 		205	Wild	G8 V	{ 0 }	(966-5)	[8741]	BC	15	-1620
Ziaf	A	0104	Ienazh	A53478C-8	 			302	Wild	M3 V	{ 0 }	(B6A+1)	[872B]	B	13	660
Ziaf	A	0106	Spridlepl	B535744-8	 			923	Wild	G3 V	{ 0 }	(F68+1)	[6765]	B	12	720
Ziaf	A	0107	Chtalekl	B552656-9	 	Ni Po 		204	Wild	K9 V M3 V	{ 0 }	(C56-2)	[669C]	B	9	-720
Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900-2)	[0000]	B	6	-18
Ziaf	A	0110	Tlaprezhel	B437778-7	 			203	Wild	K4 IV	{ 0 }	(965+1)	[A7A3]	B	9	270
Ziaf	E	0114	Frezhietsed	C783489-5	 	Ni 		112	Wild	G5 V	{ -2 }	(830-1)	[8266]	B	15	-24
Ziaf	E	0115	Nivrdiatia	D789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00+1)	[0000]	B	13	10
Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600+3)	[0000]	B	5	18
Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900+1)	[0000]	B	11	9
Ziaf	I	0125	Shipebr	X423000-7	 	Di Po 		024	Wild	M1 V M6 V	{ -3 }	(800+1)	[0000]	B	15	8
Ziaf	I	0127	Iefriaqr	B758579-6	 	Ag Ni 		304	Wild	G6 V	{ 0 }	(845+4)	[5558]	BC	7	640
Ziaf	I	0128	O'staz	A00045A-E	 	As Va Ni 		331	Wild	M0 V M4 V	{ 1 }	(C34+1)	[456A]	B	10	144
Ziaf	I	0129	Iense	X571000-9	 	Di He 		014	Wild	G8 V	{ -2 }	(D00-5)	[0000]	B	9	-65
Ziaf	M	0131	Fliaplav	C20089A-7	 	Na Pi Ph Va 		403	Wild	F9 V	{ -1 }	(A77-3)	[D7A9]	BDe	10	-1470
Ziaf	M	0132	Deifr	B597775-8	 	Ag Pi 		525	Wild	F4 V F8 V M4 V	{ 1 }	(G64+1)	[581A]	BCD	14	384
Ziaf	M	0134	Satkant	D788883-5	 	Pa Ri Ph 		336	Wild	F5 V M6 V	{ -1 }	(A76-5)	[8786]	BcCe	14	-2100
Ziaf	M	0135	Ietqlaz	E511000-0	 	Ba Ic 		001	Wild	M1 V	{ -3 }	(200-2)	[0000]	B	6	-4
Ziaf	M	0138	Tiorsedlie	X420797-6	 	(minor) De He Na Pi Po 		102	Wild	G2 V	{ -2 }	(966+1)	[9555]	BD	7	324
Ziaf	M	0139	Vazia	D310000-A	 	Di 		022	Wild	G2 V	{ -1 }	(B00+1)	[0000]	B	10	11
Ziaf	M	0140	Tanjchiada	X675000-B	 	Di 		003	Wild	F7 V	{ -1 }	(B00-2)	[0000]	B	9	-22
Ziaf	A	0204	Eardaqr	C3106AB-7	 	Na Ni 		213	Wild	K4 V	{ -2 }	(851-2)	[346B]	B	13	-80
Ziaf	A	0205	Ipliadl	E5417AD-3	 	He Pi Po 		903	Wild	G0 V M2 V	{ -2 }	(C62-3)	[5531]	BD	13	-432
Ziaf	A	0207	Zhdilqia	E656000-0	 	Ba Ga 		003	Wild	F2 V	{ -3 }	(200+3)	[0000]	B	11	6
Ziaf	A	0208	Senzprerez	D7A4000-8	 	Di Fl 		000	Wild	M4 III	{ -3 }	(800+2)	[0000]	B	8	16
Ziaf	E	0211	Jinsli	D556531-6	 	Ag Ni 		322	Wild	F4 V	{ -2 }	(744-4)	[538A]	BC	11	-448
Ziaf	E	0212	Chivtsram	E201000-0	 	Ba Ic Va 		010	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	7	2
Ziaf	E	0216	Veqde	X577000-5	 	Di 		005	Wild	K9 V M6 V	{ -3 }	(A00+5)	[0000]	B	13	50
Ziaf	E	0218	Zazher	X886000-A	 	Di Ga 		003	Wild	K3 V M6 V	{ -1 }	(900-4)	[0000]	B	9	-36
Ziaf	E	0219	Dratldieve	E100000-0	 	Ba Va 		029	Wild	G3 V M8 V M7 V	{ -3 }	(200+2)	[0000]	B	17	4
Ziaf	E	0220	Iepzhda	B5108DC-9	 	Na Pi Ph 		100	Wild	F6 V	{ 1 }	(A7D+2)	[A978]	BDe	10	1820
Ziaf	I	0221	Iashiedr	B87888A-5	 	Pa Pi Ph 		503	Wild	M1 V M1 V	{ 0 }	(A74+2)	[D817]	BcDe	12	560
Ziaf	I	0222	Apllestenzh	E423000-0	 	Ba Po 		022	Wild	M2 V	{ -3 }	(200+1)	[0000]	B	14	2
Ziaf	I	0226	Rqliachi	C410546-7	 	Ni 		302	Wild	M0 V	{ -2 }	(744+3)	[4333]	B	5	336
Ziaf	I	0227	Tsiprierfie	A510375-A	 	Lo 		601	Wild	M0 V M1 V	{ 1 }	(721-2)	[449B]	B	11	-28
Ziaf	I	0229	Tliaiem Veqchta	E535446-5	 	Ni Px 		324	Wild	F4 V M2 V	{ -3 }	(630-1)	[1137]	B	16	-18
