Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ziaf	A	0101	Jadljetefl	B200425-B	 	Ni Va 		610	ZhIN	F5 V	{ 1 }	(734-1)	[2539]	B	8	-84
1199	Ziaf	A	0101	Jadljetefl	B200476-9	 	Ni Va 		310	Wild	F5 V	{ 0 }	(735-2)	[347B]	B	8	-210
1508	Ziaf	A	0101	Jadljetefl	B200444-A	 	Ni Va 		210	Wild	F5 V	{ 1 }	(737+1)	[652A]	B	8	147
1900	Ziaf	A	0101	Jadljetefl	B200475-B	 	Ni Va 		310	Wild	F5 V	{ 1 }	(737+1)	[156A]	B	8	147

1105	Ziaf	A	0103	Ens Zhdo	X568732-2	 	Ag Ri 	R	205	ZhIN	G8 V	{ 0 }	(965-4)	[3711]	BC	15	-1080
1199	Ziaf	A	0103	Ens Zhdo	X568783-0	 	Ag Ri 		105	Wild	G8 V	{ 0 }	(966+1)	[8741]	BC	15	324
1508	Ziaf	A	0103	Ens Zhdo	X568775-1	 	Ag Ri 		205	Wild	G8 V	{ 0 }	(966-5)	[8741]	BC	15	-1620
1900	Ziaf	A	0103	Ens Zhdo	C568731-8	 	Ag Ri 		905	Wild	G8 V	{ 1 }	(E69-1)	[9858]	BC	15	-756

1105	Ziaf	A	0104	Ienazh	A534743-9	 			902	ZhIN	M3 V	{ 2 }	(B6B-1)	[4926]	B	13	-726
1199	Ziaf	A	0104	Ienazh	A534755-8	 			402	Wild	M3 V	{ 0 }	(B66-1)	[B728]	B	13	-396
1508	Ziaf	A	0104	Ienazh	A53478C-8	 			302	Wild	M3 V	{ 0 }	(B6A+1)	[872B]	B	13	660
1900	Ziaf	A	0104	Ienazh	A534776-9	 			302	Wild	M3 V	{ 1 }	(B68+3)	[B887]	B	13	1584

1105	Ziaf	A	0106	Spridlepl	B535840-9	 	Ph 		223	ZhIN	G3 V	{ 2 }	(F7B-2)	[3A14]	Be	12	-2310
1199	Ziaf	A	0106	Spridlepl	B535843-7	 	Ph 		123	Wild	G3 V	{ 0 }	(A73-1)	[3883]	Be	12	-210
1508	Ziaf	A	0106	Spridlepl	B535744-8	 			923	Wild	G3 V	{ 0 }	(F68+1)	[6765]	B	12	720
1900	Ziaf	A	0106	Spridlepl	B535777-9	 			923	Wild	G3 V	{ 1 }	(F67-1)	[7888]	B	12	-630

1105	Ziaf	A	0107	Chtalekl	B552635-9	 	Ni Po 		304	ZhIN	K9 V M3 V	{ 0 }	(C54-2)	[4637]	B	9	-480
1199	Ziaf	A	0107	Chtalekl	B552675-7	 	Ni Po 		104	Wild	K9 V M3 V	{ -1 }	(854+3)	[4548]	B	9	480
1508	Ziaf	A	0107	Chtalekl	B552656-9	 	Ni Po 		204	Wild	K9 V M3 V	{ 0 }	(C56-2)	[669C]	B	9	-720
1900	Ziaf	A	0107	Chtalekl	B552622-9	 	Ni Po 		304	Wild	K9 V M3 V	{ 0 }	(C52+1)	[666B]	B	9	120

1105	Ziaf	A	0109	Jaitnab	A543475-A	 	Ni Po 		403	ZhIN	F0 V	{ 2 }	(935+1)	[2638]	B	6	135
1199	Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900+2)	[0000]	B	6	18
1508	Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900-2)	[0000]	B	6	-18
1900	Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900+4)	[0000]	B	6	36

1105	Ziaf	A	0110	Tlaprezhel	B4377B6-8	 			303	ZhIN	K4 IV	{ 0 }	(C68-1)	[6747]	B	9	-576
1199	Ziaf	A	0110	Tlaprezhel	B437786-6	 			103	Wild	K4 IV	{ 0 }	(968+1)	[274B]	B	9	432
1508	Ziaf	A	0110	Tlaprezhel	B437778-7	 			203	Wild	K4 IV	{ 0 }	(965+1)	[A7A3]	B	9	270
1900	Ziaf	A	0110	Tlaprezhel	B437798-8	 			303	Wild	K4 IV	{ 0 }	(C67-2)	[A779]	B	9	-1008

1105	Ziaf	E	0114	Frezhietsed	C783643-5	 	Ni Ri 	A	412	ZhIN	G5 V	{ -1 }	(853-4)	[3522]	BC	15	-480
1199	Ziaf	E	0114	Frezhietsed	C783430-4	 	Ni 		212	Wild	G5 V	{ -2 }	(830-4)	[5257]	B	15	-96
1508	Ziaf	E	0114	Frezhietsed	C783489-5	 	Ni 		112	Wild	G5 V	{ -2 }	(830-1)	[8266]	B	15	-24
